viaje_id,pedido_id,orden_parada,hora_entrega_real
23,66701,1,06:55
23,100409,2,07:27
23,109225,3,07:58
23,104505,4,08:33
23,77867,5,09:01
23,75897,6,09:34
23,88928,7,10:11
23,90805,8,10:38
23,97714,9,11:19
24,34346,1,07:47
24,875,2,08:21
24,19180,3,08:47
24,9247,4,09:20
24,14467,5,10:25
24,23164,6,10:35
24,1459,7,11:43
24,36835,8,12:20
24,31446,9,12:44
24,55962,10,13:22
25,115492,1,08:03
26,107428,1,07:32
26,71888,2,07:52
26,108439,3,08:33
26,80904,4,09:10
26,91708,5,09:56
27,71613,1,07:46
27,110057,2,08:05
27,85709,3,08:34
27,109123,4,09:17
27,72426,5,09:57
27,67444,6,10:02
27,87007,7,10:32
27,95804,8,11:10
27,93146,9,11:52
27,113402,10,11:57
27,109709,11,12:44
27,100027,12,13:03
28,92633,1,07:57
29,125658,1,07:04
29,148054,2,07:37
29,171379,3,07:47
29,165545,4,08:33
29,169846,5,08:33
29,140752,6,09:08
29,130665,7,09:23
29,119068,8,10:12
29,143989,9,10:46
29,169322,10,11:00
29,169983,11,11:21
29,152594,12,11:52
30,168886,1,09:19
30,134108,2,09:56
31,114572,1,08:11
32,18022,1,07:12
32,9846,2,07:55
32,57701,3,08:28
32,40703,4,09:05
32,48484,5,09:25
32,59732,6,10:17
32,45603,7,10:34
32,28668,8,10:59
32,64913,9,11:43
32,40241,10,12:10
32,17591,11,12:33
32,20190,12,13:29
33,28925,1,07:30
33,18343,2,07:54
33,44509,3,08:18
33,16788,4,09:03
33,52548,5,09:03
33,7241,6,09:32
33,51220,7,09:56
33,21660,8,10:41
33,33755,9,11:08
33,55767,10,11:07
33,65687,11,11:31
34,138363,1,06:55
34,139269,2,07:28
34,156404,3,08:09
34,144228,4,09:01
35,143878,1,08:15
35,163288,2,09:12
35,146960,3,09:39
35,121870,4,10:01
35,124631,5,10:28
35,132711,6,11:17
35,159524,7,11:48
35,140283,8,12:15
35,161445,9,12:45
35,146622,10,13:30
35,160326,11,13:44
35,159675,12,14:32
36,26395,1,09:15
36,38292,2,09:36
36,56863,3,10:37
36,21784,4,10:42
36,5695,5,11:21
36,25181,6,11:54
36,60214,7,12:42
37,32001,1,07:18
37,45288,2,08:09
37,40917,3,08:53
37,10191,4,09:29
37,19089,5,10:01
37,11634,6,10:40
37,65526,7,11:16
37,61835,8,11:26
38,129747,1,07:29
38,148515,2,08:02
38,132363,3,08:45
38,124103,4,09:11
38,126548,5,09:25
38,163608,6,10:16
38,162933,7,10:17
38,122536,8,10:56
38,157567,9,11:17
38,167366,10,12:03
38,119069,11,12:44
38,115308,12,12:44
39,18344,1,07:23
39,36157,2,08:09
39,58867,3,08:26
39,52183,4,09:13
39,33756,5,09:46
39,46177,6,10:04
39,48141,7,10:40
39,3120,8,11:17
39,58436,9,11:41
39,51561,10,12:01
39,22185,11,12:51
40,90623,1,09:44
40,97063,2,10:15
40,70659,3,10:42
40,97622,4,11:18
40,67950,5,12:04
40,92932,6,12:28
40,87532,7,13:36
40,89373,8,13:50
40,70261,9,14:39
40,88929,10,15:21
40,73821,11,15:47
41,50559,1,09:00
41,61490,2,09:24
41,37968,3,10:16
41,52719,4,10:22
41,11843,5,11:24
41,24186,6,11:28
41,46588,7,12:21
41,53799,8,12:49
41,39789,9,13:00
41,57875,10,13:36
41,34347,11,13:57
41,54037,12,14:23
42,116766,1,08:55
42,137599,2,09:08
42,159037,3,09:40
42,137971,4,10:01
42,157870,5,10:35
42,153266,6,11:03
42,134507,7,11:36
42,147081,8,11:55
42,171044,9,12:36
42,125535,10,12:36
42,116232,11,13:12
42,142458,12,13:56
43,122219,1,07:56
44,158484,1,07:50
44,147501,2,08:32
44,155293,3,09:15
44,146120,4,09:45
44,150355,5,10:45
44,141044,6,11:07
45,164810,1,09:46
45,129223,2,10:51
45,165546,3,11:24
46,95097,1,08:58
46,75725,2,09:33
46,96644,3,10:00
46,77441,4,10:46
47,84748,1,09:31
47,103933,2,10:11
47,83839,3,10:48
47,102213,4,11:07
47,94181,5,11:49
47,74446,6,12:39
47,70881,7,13:01
47,80498,8,13:59
47,96014,9,14:34
47,109386,10,15:10
47,109710,11,16:03
47,74828,12,16:33
48,6687,1,06:53
48,60716,2,07:32
48,14468,3,08:21
48,12467,4,08:55
49,123597,1,07:33
49,127720,2,07:38
49,149993,3,07:59
49,135882,4,08:35
49,166279,5,09:17
49,119946,6,09:25
50,4337,1,09:19
50,26396,2,09:27
50,12591,3,10:01
50,27161,4,10:43
51,43801,1,06:54
51,28426,2,07:45
51,25652,3,08:26
51,53674,4,08:58
51,28768,5,09:30
51,876,6,10:25
51,24844,7,10:37
51,7131,8,11:17
51,36836,9,12:07
51,13182,10,12:38
51,57876,11,13:36
51,62907,12,13:58
52,23165,1,09:42
52,15523,2,10:28
52,49218,3,11:52
53,28926,1,07:00
53,13674,2,07:22
53,51756,3,08:01
53,41420,4,09:01
53,22880,5,09:10
53,1607,6,09:59
53,16278,7,10:34
53,2002,8,11:15
53,29726,9,11:50
53,40242,10,12:20
53,23073,11,13:18
53,58437,12,13:48
54,9847,1,08:21
54,16442,2,09:10
54,19337,3,10:04
54,305,4,10:44
54,26113,5,11:08
54,52184,6,12:00
54,5144,7,12:41
54,6524,8,13:18
55,104506,1,07:41
55,100410,2,08:06
55,95339,3,08:47
55,68777,4,09:19
55,110988,5,09:21
55,75332,6,09:50
55,99940,7,10:37
55,66702,8,11:02
55,75898,9,11:26
56,95805,1,09:57
56,96645,2,10:23
56,67445,3,11:12
57,67773,1,08:44
57,84277,2,09:20
57,71889,3,10:10
57,101932,4,11:10
57,100939,5,11:38
57,73038,6,12:15
57,74829,7,12:49
57,86074,8,13:12
57,88643,9,14:07
57,98443,10,14:52
57,111734,11,15:28
57,104935,12,16:04
58,148055,1,06:58
58,145886,2,07:58
58,131004,3,08:16
58,171380,4,09:24
58,122537,5,10:00
58,144729,6,10:22
58,117163,7,11:15
58,135470,8,11:30
58,129224,9,12:29
58,116901,10,13:17
58,123160,11,13:25
58,134109,12,14:17
59,171740,1,08:45
59,142686,2,09:36
59,120097,3,09:44
59,158357,4,10:36
59,159038,5,10:48
59,134415,6,11:31
59,153118,7,12:14
59,138674,8,12:33
59,163289,9,12:54
59,164396,10,13:20
59,167192,11,14:10
59,118034,12,14:41
60,121008,1,09:00
60,143097,2,10:07
60,154476,3,10:24
61,86909,1,07:05
61,78319,2,07:28
61,92048,3,07:53
61,82417,4,08:50
61,108440,5,09:09
61,79795,6,09:49
61,108805,7,10:23
61,113762,8,11:20
61,83242,9,11:28
61,113403,10,12:03
61,109387,11,12:49
61,113045,12,13:37
62,150701,1,08:20
62,149803,2,08:57
62,149018,3,09:32
62,130002,4,10:04
62,135309,5,10:56
63,134628,1,09:34
63,166757,2,10:19
63,116322,3,11:21
64,121871,1,06:58
64,114928,2,07:44
64,146233,3,08:18
64,124806,4,09:00
64,126106,5,09:38
64,137972,6,10:10
64,128077,7,11:18
64,165373,8,11:58
64,118035,9,12:15
64,151699,10,13:17
65,162762,1,09:28
65,154141,2,09:53
65,162026,3,10:50
65,141045,4,11:37
65,147502,5,12:05
65,150702,6,13:07
65,133565,7,13:32
66,122220,1,09:02
66,153501,2,09:12
66,166758,3,09:48
66,168498,4,10:15
66,140087,5,10:47
66,125405,6,11:19
66,172127,7,11:44
67,34348,1,07:26
67,3901,2,08:04
67,62628,3,08:32
67,2785,4,08:59
67,17229,5,09:54
67,47248,6,10:30
67,877,7,11:00
67,13468,8,11:55
67,64684,9,12:45
67,27574,10,13:23
67,50560,11,14:09
67,37757,12,14:54
68,114733,1,09:01
68,160616,2,09:54
68,155390,3,10:09
69,53289,1,08:54
69,20948,2,09:26
69,51221,3,10:13
69,33757,4,11:03
69,37435,5,11:37
69,13305,6,12:07
69,47743,7,13:12
69,58242,8,13:38
69,48485,9,14:30
69,59899,10,14:59
69,38984,11,15:17
69,55452,12,16:20
70,64266,1,08:21
70,35783,2,08:58
70,5145,3,09:42
70,40704,4,10:27
70,48142,5,10:39
70,18345,6,11:09
70,45604,7,11:58
70,57330,8,12:20
70,34770,9,13:06
70,55768,10,13:25
70,6998,11,14:26
70,16117,12,14:38
71,71778,1,08:05
71,106304,2,08:28
71,90806,3,08:37
71,104418,4,09:19
71,100821,5,09:54
71,89374,6,10:18
71,70262,7,10:47
71,74692,8,11:23
71,86570,9,11:45
71,90624,10,11:47
71,83364,11,12:29
71,97715,12,13:04
72,6688,1,08:02
72,62137,2,08:33
72,6114,3,08:45
72,2234,4,09:28
72,25653,5,10:00
72,14469,6,10:39
72,18846,7,10:36
72,30091,8,11:26
73,24702,1,07:15
73,753,2,08:07
73,39315,3,08:42
73,56716,4,08:54
74,112709,1,08:34
74,99765,2,08:48
74,99014,3,09:42
74,91075,4,10:24
74,102214,5,10:37
74,81848,6,11:29
74,80905,7,12:00
74,71890,8,12:44
74,66499,9,13:19
75,68946,1,08:58
75,82418,2,09:22
75,69692,3,09:45
75,88644,4,10:18
75,101371,5,11:01
75,78710,6,11:43
75,104253,7,11:56
75,102635,8,12:56
75,94051,9,13:17
75,100028,10,13:57
75,96333,11,14:25
75,93283,12,14:43
76,138864,1,09:26
76,141613,2,09:52
76,168319,3,10:22
76,132364,4,10:43
76,116676,5,11:30
76,130666,6,11:42
76,161006,7,12:08
76,152595,8,12:32
76,139960,9,13:03
76,167367,10,13:57
76,158646,11,14:20
76,136992,12,14:30
77,12339,1,09:41
77,39407,2,10:07
77,56864,3,10:34
77,10192,4,11:48
77,47408,5,12:08
77,11635,6,12:48
77,37518,7,13:41
77,12977,8,14:25
77,39637,9,15:01
78,145177,1,08:59
78,138364,2,09:33
78,166280,3,10:03
78,144229,4,10:22
78,127721,5,10:40
78,149359,6,11:21
78,156405,7,11:50
78,136230,8,12:03
79,154025,1,08:34
79,116323,2,09:11
80,142459,1,07:31
80,131834,2,07:56
80,133408,3,08:56
80,123976,4,09:14
80,157871,5,09:43
80,115927,6,10:36
80,164397,7,10:49
80,135727,8,11:31
80,127626,9,11:43
80,170691,10,12:28
80,125793,11,12:49
80,132712,12,13:53
81,32691,1,09:12
81,63705,2,09:59
81,1,3,10:05
81,42366,4,10:38
81,36158,5,11:44
81,21661,6,12:03
81,61157,7,12:30
81,16443,8,13:08
81,45605,9,13:52
81,29727,10,14:04
81,44661,11,14:47
81,44510,12,15:33
82,52549,1,08:25
82,35978,2,08:42
82,40243,3,09:25
82,11097,4,09:57
82,57702,5,10:22
82,3449,6,11:02
82,46178,7,11:46
82,3121,8,12:30
82,18023,9,13:08
82,19525,10,13:39
82,44158,11,13:54
83,38856,1,09:24
83,40918,2,10:30
83,8729,3,11:26
83,37284,4,12:10
84,145012,1,08:19
84,117626,2,08:48
84,147503,3,09:05
84,156788,4,10:01
84,115493,5,10:05
84,141046,6,10:38
85,68492,1,09:00
85,87768,2,09:12
85,81524,3,09:25
85,74830,4,09:45
85,96646,5,10:22
85,84962,6,11:04
85,87008,7,11:14
85,107958,8,11:37
85,109711,9,12:01
85,82300,10,12:20
85,72427,11,12:51
85,102215,12,13:05
86,86075,1,08:49
86,67446,2,09:36
86,77442,3,10:19
86,104936,4,10:59
86,98556,5,11:56
86,80499,6,12:09
86,73386,7,13:07
86,101933,8,13:21
86,67324,9,14:19
86,70018,10,15:00
86,85059,11,15:18
86,91487,12,15:53
87,76274,1,08:27
87,92462,2,09:00
87,88930,3,10:10
87,87533,4,10:36
87,73148,5,11:15
87,104507,6,12:15
87,77868,7,13:02
88,124304,1,07:30
88,169985,2,08:30
88,149517,3,09:13
88,148056,4,10:11
89,144730,1,06:42
89,134110,2,07:08
89,147234,3,07:55
89,169074,4,08:28
89,129225,5,08:57
89,171381,6,09:57
89,135471,7,10:28
89,148516,8,11:06
89,119070,9,11:38
89,123161,10,12:22
89,126549,11,12:59
89,165547,12,13:24
90,135883,1,09:16
90,139270,2,09:49
90,124995,3,10:20
90,149994,4,11:24
90,130529,5,11:37
90,156406,6,12:21
90,143098,7,12:53
91,100940,1,08:41
91,85710,2,10:09
92,21943,1,07:40
92,53800,2,08:24
92,14143,3,08:42
92,1460,4,09:33
92,50561,5,10:03
92,30296,6,10:27
92,23166,7,10:52
92,46430,8,11:54
92,55963,9,12:20
92,50911,10,13:08
92,5007,11,13:31
92,20528,12,13:55
93,36837,1,09:38
94,96443,1,08:42
94,110246,2,08:50
94,84749,3,09:38
94,86313,4,10:19
94,71614,5,10:53
94,113046,6,10:54
94,74447,7,11:44
94,82419,8,12:00
94,78320,9,12:40
94,70882,10,13:24
94,66500,11,14:08
94,109388,12,14:37
95,97716,1,07:51
95,110474,2,08:23
95,87416,3,08:49
95,70263,4,09:31
95,66703,5,09:54
95,89375,6,09:57
95,73600,7,10:34
95,88931,8,11:08
95,93390,9,11:15
95,107324,10,11:55
95,68388,11,12:16
96,119767,1,08:42
96,121010,2,09:27
96,166281,3,10:04
96,154477,4,10:55
96,123598,5,11:44
96,144230,6,12:32
97,143990,1,09:00
97,161658,2,10:01
97,124104,3,10:13
97,165548,4,11:05
97,131005,5,11:24
97,122538,6,12:05
97,140753,7,12:57
97,115309,8,13:26
97,168887,9,13:57
97,124305,10,14:32
97,148517,11,15:32
97,134111,12,15:58
98,150356,1,07:00
98,170930,2,07:55
98,135310,3,08:19
98,151826,4,09:12
98,130003,5,09:25
98,133566,6,10:07
99,80906,1,09:20
100,15005,1,06:44
100,51562,2,07:01
100,59733,3,07:43
100,3122,4,07:50
100,52185,5,08:35
100,51222,6,09:13
100,49429,7,09:40
100,19338,8,10:01
100,2003,9,10:16
100,16789,10,10:30
100,65688,11,11:19
101,7242,1,06:36
101,29728,2,07:40
101,2915,3,08:11
101,33758,4,08:37
101,35673,5,08:54
101,2478,6,09:48
101,46085,7,10:27
101,34942,8,11:03
101,58868,9,11:28
101,16279,10,11:48
101,48486,11,12:47
101,9848,12,13:07
102,137973,1,07:31
102,164398,2,07:39
102,140284,3,08:39
102,163290,4,08:38
102,145348,5,09:31
102,122834,6,09:51
102,159039,7,10:26
102,136768,8,10:20
102,161446,9,10:48
102,163092,10,11:44
102,163768,11,11:39
102,157872,12,12:11
103,100029,1,07:00
103,99574,2,07:09
103,98135,3,07:44
103,67193,4,08:19
103,89952,5,08:59
103,108237,6,09:48
103,107429,7,10:20
103,112888,8,10:47
103,74072,9,10:58
103,75726,10,11:57
103,70148,11,12:19
103,103934,12,13:01
104,92634,1,09:18
105,591,1,09:20
105,878,2,09:47
105,25654,3,10:03
105,16672,4,10:28
105,37969,5,10:51
105,62908,6,11:38
105,52720,7,11:41
105,17230,8,12:28
105,31447,9,12:39
105,60717,10,13:25
105,3902,11,13:41
105,11844,12,13:53
106,54672,1,07:13
106,24845,2,07:51
106,57877,3,08:33
106,22051,4,08:41
107,147082,1,07:04
107,151485,2,07:49
107,160327,3,08:20
107,152259,4,09:25
107,141762,5,09:41
107,162361,6,10:27
107,124632,7,11:12
108,119640,1,07:04
108,126842,2,07:52
108,116324,3,08:49
109,21785,1,08:16
109,21374,2,08:35
109,25182,3,09:01
109,60215,4,10:07
109,39408,5,10:23
109,10193,6,11:05
109,5696,7,11:29
109,65527,8,12:06
109,47409,9,13:09
110,109712,1,06:35
110,101934,2,07:31
110,108441,3,07:49
110,93147,4,08:16
110,100941,5,09:23
110,73387,6,09:24
110,83840,7,10:05
110,113404,8,10:42
110,77443,9,11:18
110,111096,10,11:48
110,91488,11,12:35
110,102216,12,12:51
111,91709,1,07:55
112,141047,1,06:32
112,150703,2,07:08
112,147504,3,07:49
112,149019,4,08:46
112,162027,5,08:54
112,158485,6,09:51
112,125932,7,10:17
112,149224,8,10:44
112,149804,9,11:21
113,91808,1,09:03
114,171382,1,07:39
114,119071,2,08:02
114,132365,3,08:19
114,152596,4,08:32
114,156877,5,09:16
114,163609,6,09:33
114,126550,7,10:07
114,130668,8,10:19
114,116902,9,10:51
114,125659,10,11:01
114,148057,11,11:43
114,164811,12,11:52
115,166759,1,07:27
115,123355,2,07:37
115,154341,3,08:06
115,122221,4,08:59
115,140088,5,09:41
116,156407,1,09:26
116,136231,2,09:57
116,146333,3,10:51
116,166282,4,11:16
116,144231,5,11:46
116,119947,6,12:37
116,127722,7,13:37
117,90807,1,07:08
117,70264,2,07:52
117,97717,3,08:35
117,66704,4,09:05
117,100411,5,10:07
117,97064,6,10:36
117,79403,7,11:19
117,67951,8,11:50
117,75899,9,12:44
117,73149,10,13:11
118,40919,1,08:25
118,26397,2,09:12
118,25361,3,09:52
118,35870,4,10:18
118,33499,5,11:09
118,32002,6,11:49
118,38293,7,12:38
118,12592,8,12:57
118,45289,9,13:33
118,11636,10,14:33
118,12978,11,14:46
119,88645,1,08:18
119,99015,2,08:27
119,107161,3,08:46
119,104254,4,09:23
119,68493,5,09:43
119,104937,6,10:40
119,85711,7,10:38
119,68198,8,11:03
119,79796,9,11:54
119,96015,10,12:22
119,103935,11,12:55
119,109389,12,13:22
120,167193,1,08:29
120,169408,2,08:58
120,118036,3,09:57
120,120098,4,10:14
120,153119,5,10:36
120,142687,6,11:03
120,152920,7,11:28
120,125117,8,12:03
120,146961,9,12:48
120,121872,10,13:11
120,120329,11,13:18
120,171741,12,14:11
121,114491,1,07:53
121,122539,2,08:02
121,149686,3,08:44
121,139652,4,09:35
122,5146,1,07:17
122,48143,2,08:03
122,36159,3,08:24
122,22186,4,08:56
122,18346,5,09:15
122,46179,6,10:03
122,28927,7,10:39
122,41422,8,11:05
122,9849,9,11:46
122,44662,10,12:27
122,20191,11,12:59
122,58438,12,13:38
123,36838,1,06:53
123,6689,2,07:56
123,60118,3,08:20
123,61641,4,09:13
123,61491,5,09:33
123,14144,6,10:09
123,9248,7,11:12
123,31096,8,11:46
123,23167,9,12:36
123,3903,10,12:55
123,36461,11,13:37
123,34349,12,14:24
124,46589,1,07:16
124,4544,2,07:39
124,62138,3,08:39
124,26671,4,09:03
124,26805,5,09:37
124,57878,6,10:04
124,43802,7,10:07
125,63706,1,09:50
126,34350,1,07:05
126,879,2,07:36
126,62629,3,08:16
126,47249,4,08:30
126,60718,5,09:00
126,37970,6,09:10
126,55964,7,09:51
126,12468,8,10:11
126,57121,9,10:39
126,53801,10,10:55
126,13469,11,11:36
126,2235,12,12:06
127,135472,1,07:18
127,132366,2,07:43
127,169986,3,08:12
127,155391,4,08:52
127,155179,5,09:42
127,167368,6,10:18
127,161007,7,10:55
127,144731,8,11:35
127,162934,9,12:10
127,157568,10,12:29
127,143991,11,13:13
127,129226,12,13:46
128,162267,1,07:01
128,118037,2,07:38
128,171045,3,08:04
128,164399,4,08:45
128,138675,5,09:02
128,137974,6,09:44
128,159676,7,10:27
128,146623,8,10:39
128,115928,9,11:03
128,153267,10,11:57
128,139100,11,12:29
128,143879,12,12:53
129,117922,1,07:47
129,134737,2,08:31
129,163291,3,09:04
129,132713,4,09:49
130,61836,1,07:59
130,27162,2,09:02
130,61055,3,09:15
130,7408,4,10:17
130,59288,5,10:52
130,56865,6,11:43
130,10194,7,12:17
131,59900,1,07:36
131,49975,2,08:26
131,40244,3,08:35
131,55769,4,09:14
131,52186,5,09:48
131,2479,6,10:03
131,16444,7,10:35
131,4232,8,10:49
131,17592,9,11:20
131,52550,10,11:47
131,58869,11,12:19
131,51223,12,12:45
132,45606,1,09:25
132,36743,2,09:49
132,35979,3,10:08
132,33759,4,10:20
132,32231,5,10:54
132,5147,6,11:19
132,36160,7,11:53
132,64914,8,12:09
132,23837,9,12:37
132,49127,10,13:12
132,13306,11,13:27
132,18347,12,14:05
133,143100,1,07:25
133,140474,2,08:08
133,137702,3,08:47
133,138365,4,09:53
134,95340,1,07:12
134,90808,2,08:02
134,76686,3,08:12
134,92463,4,08:35
134,83365,5,09:09
134,88932,6,09:24
134,89376,7,10:10
135,88646,1,08:15
135,96647,2,08:55
135,68947,3,09:50
135,67447,4,10:11
135,71891,5,11:17
135,102636,6,11:32
135,74831,7,12:09
135,113580,8,12:58
135,98557,9,13:24
135,99459,10,14:26
135,80907,11,15:09
135,108806,12,15:35
136,131006,1,08:57
136,129748,2,10:01
136,148518,3,10:44
136,160617,4,11:22
136,142325,5,12:08
137,79156,1,07:00
137,87009,2,07:40
137,67774,3,08:06
137,80500,4,08:26
137,92049,5,09:01
137,72646,6,09:54
137,104938,7,10:22
137,70883,8,10:24
137,87277,9,10:54
137,101811,10,11:44
137,94279,11,12:09
138,133567,1,08:47
138,150704,2,09:27
138,162763,3,10:22
138,128512,4,11:26
138,146121,5,11:53
139,6525,1,08:15
139,3123,2,08:58
140,64685,1,07:55
141,29729,1,07:52
141,28928,2,08:32
141,13675,3,08:51
141,34771,4,09:32
141,58439,5,09:38
141,2004,6,10:13
141,22881,7,11:03
141,57703,8,11:17
141,18024,9,11:41
141,30426,10,12:35
141,7243,11,12:36
141,11098,12,13:30
142,37285,1,07:39
142,60216,2,07:54
142,37519,3,08:33
142,26398,4,09:06
142,45290,5,09:40
142,30190,6,10:20
142,40920,7,10:37
142,49027,8,11:32
143,154142,1,07:39
143,114397,2,07:39
143,117627,3,08:11
143,150357,4,08:50
143,145013,5,09:29
143,157252,6,10:20
144,48144,1,07:33
145,107079,1,08:44
145,74832,2,09:36
145,70019,3,10:08
145,100942,4,10:27
145,84278,5,11:03
145,101935,6,11:50
145,82420,7,12:07
145,112889,8,12:57
145,74448,9,13:28
145,111736,10,14:00
145,86910,11,13:59
145,102217,12,15:01
146,96648,1,08:17
146,83243,2,08:40
146,94052,3,09:21
146,100030,4,10:05
146,106177,5,10:16
146,109713,6,11:21
146,105853,7,11:33
146,71615,8,12:31
146,112710,9,12:54
146,78028,10,13:54
146,87769,11,14:32
146,67448,12,14:40
147,6115,1,07:01
147,23168,2,07:36
147,28427,3,08:10
147,51006,4,08:21
147,18847,5,08:50
147,10844,6,09:22
147,15524,7,09:40
147,14470,8,10:03
147,6690,9,11:02
147,25655,10,11:16
147,17231,11,11:53
147,50563,12,12:25
148,62510,1,07:02
148,24703,2,07:53
148,28669,3,08:01
148,2,4,08:12
148,16118,5,09:05
148,1608,6,09:03
148,306,7,09:40
148,38985,8,10:06
148,65689,9,10:29
148,42367,10,11:10
148,51757,11,11:15
148,3450,12,11:40
149,66705,1,08:12
149,86571,2,08:30
149,75900,3,09:10
149,90625,4,09:48
149,79536,5,10:08
149,100822,6,10:24
149,96180,7,10:59
149,97623,8,11:06
149,75333,9,11:47
149,66408,10,11:44
149,97718,11,12:28
150,161184,1,09:06
150,166760,2,09:22
150,172128,3,10:11
150,139006,4,11:24
151,139271,1,07:45
151,149995,2,08:18
151,135884,3,08:57
151,123599,4,09:46
151,121011,5,10:16
151,156408,6,11:09
152,158358,1,07:20
152,163093,2,07:50
152,126107,3,08:19
152,120099,4,08:48
152,135728,5,09:21
152,124633,6,09:55
152,165374,7,10:18
152,134508,8,10:41
152,128078,9,11:23
152,140285,10,11:43
152,124807,11,12:04
152,151700,12,12:45
153,159040,1,09:41
154,169323,1,09:09
154,152597,2,09:23
154,145887,3,09:54
154,149518,4,10:32
154,117164,5,10:44
154,141614,6,11:09
154,144732,7,12:01
154,119072,8,11:58
155,147505,1,08:30
155,115494,2,09:21
155,162028,3,09:46
155,133568,4,10:43
155,150705,5,10:52
155,141048,6,11:59
155,167592,7,12:37
155,149805,8,13:15
156,166761,1,09:25
156,125406,2,10:14
156,154026,3,11:25
157,124105,1,07:33
157,119073,2,08:26
157,169075,3,08:39
157,132367,4,08:59
157,122540,5,09:25
157,136993,6,10:01
157,135473,7,10:11
157,148058,8,10:51
157,171383,9,11:08
157,168888,10,11:31
157,120709,11,12:03
157,165550,12,12:33
158,124307,1,08:42
158,148519,2,09:26
159,108442,1,07:08
159,71892,2,07:39
159,68494,3,07:59
159,109714,4,08:47
159,110058,5,08:54
159,80908,6,09:46
159,113047,7,09:51
159,99016,8,10:45
159,93284,9,11:15
159,113256,10,11:25
159,85712,11,12:12
159,66501,12,12:20
160,72428,1,07:56
160,77445,2,09:02
160,89953,3,09:58
160,81849,4,10:44
161,57331,1,08:36
161,52187,2,09:29
161,19526,3,10:09
161,9850,4,10:28
161,58243,5,11:00
161,56717,6,11:41
161,58440,7,12:36
161,48145,8,12:39
161,45607,9,13:21
161,51563,10,13:46
161,40245,11,14:38
161,44159,12,15:29
162,89377,1,07:51
163,92635,1,10:12
164,162362,1,08:45
165,10195,1,07:19
165,38857,2,08:07
165,12340,3,08:18
165,8730,4,09:01
165,40921,5,09:38
165,12979,6,10:04
165,21375,7,10:39
165,21786,8,10:47
165,39409,9,11:29
165,56866,10,11:51
166,152167,1,08:01
166,163292,2,08:14
166,157873,3,08:45
166,125536,4,09:29
166,142460,5,09:57
166,116767,6,10:04
166,137600,7,10:39
166,160328,8,11:11
166,152260,9,11:51
166,121873,10,12:17
166,116233,11,12:46
166,132714,12,13:20
167,3904,1,06:57
167,880,2,06:54
167,2786,3,07:40
167,34351,4,08:15
167,592,5,08:39
167,7132,6,09:17
167,46431,7,09:28
