mantenimiento_id,vehiculo_id,fecha,tipo,subtipo,km_odometro,taller,costo_mano_obra
178,12,2024-01-18,preventivo,cubiertas,180000.0,Taller Diesel Norte,42601
179,12,2024-06-22,preventivo,cambio_aceite_filtro,190000.0,Service Oficial Mercedes-Benz,74884
180,12,2024-08-30,correctivo,,193556.0,Taller Central de Flota,135253
181,12,2024-11-25,preventivo,cambio_aceite_filtro,200000.0,Gomería y Mecánica El Rápido,63280
182,14,2022-01-30,preventivo,cambio_aceite_filtro,90000.0,Taller Diesel Norte,31170
183,14,2022-01-30,preventivo,frenos,90000.0,Service Oficial Mercedes-Benz,36236
184,14,2022-01-30,preventivo,cubiertas,90000.0,Taller Mecánico San Martín,11635
185,14,2022-07-24,correctivo,,96771.5,Taller Central de Flota,72696
186,14,2022-09-26,preventivo,cambio_aceite_filtro,100000.0,Taller Diesel Norte,28383
187,14,2023-02-08,preventivo,cambio_aceite_filtro,110000.0,Taller Mecánico La Ruta,48176
188,14,2023-08-18,preventivo,cambio_aceite_filtro,120000.0,Taller Central de Flota,52744
189,14,2023-08-18,preventivo,frenos,120000.0,Taller Diesel Norte,87760
190,14,2023-10-15,correctivo,,122414.9,Gomería y Mecánica El Rápido,137159
191,14,2024-02-11,preventivo,cambio_aceite_filtro,130000.0,Taller Mecánico San Martín,64493
192,14,2024-02-22,correctivo,,130899.2,Taller Mecánico San Martín,228131
193,14,2024-05-03,preventivo,cubiertas,135000.0,Service Oficial Iveco,46737
194,14,2024-08-08,preventivo,cambio_aceite_filtro,140000.0,Taller Rodríguez Hnos.,58212
195,15,2022-04-01,preventivo,cambio_aceite_filtro,140000.0,Gomería y Mecánica El Rápido,23544
196,15,2022-06-15,correctivo,,141713.8,Frenos y Embragues Sur,122742
197,15,2022-06-27,correctivo,,142103.6,Service Oficial Iveco,103189
198,15,2022-12-06,preventivo,cambio_aceite_filtro,150000.0,Taller Diesel Norte,45836
199,15,2022-12-06,preventivo,frenos,150000.0,Taller Diesel Norte,61860
200,15,2023-05-07,preventivo,cambio_aceite_filtro,160000.0,Taller Diesel Norte,37577
201,15,2023-05-07,preventivo,correa_distribucion,160000.0,Taller Mecánico La Ruta,141282
202,15,2023-12-05,preventivo,cambio_aceite_filtro,170000.0,Service Oficial Iveco,57752
203,15,2024-04-28,preventivo,cambio_aceite_filtro,180000.0,Taller Mecánico San Martín,59850
204,15,2024-04-28,preventivo,frenos,180000.0,Taller Diesel Norte,127466
205,15,2024-04-28,preventivo,cubiertas,180000.0,Taller Mecánico San Martín,45728
206,15,2024-11-13,preventivo,cambio_aceite_filtro,190000.0,Taller Rodríguez Hnos.,96555
207,17,2024-01-21,correctivo,,2039.0,Taller Mecánico La Ruta,170410
208,17,2024-05-30,preventivo,cambio_aceite_filtro,10000.0,Service Oficial Mercedes-Benz,75403
209,17,2024-11-21,preventivo,cambio_aceite_filtro,20000.0,Service Oficial Mercedes-Benz,65053
210,18,2022-06-24,preventivo,cambio_aceite_filtro,110000.0,Gomería y Mecánica El Rápido,27593
211,18,2022-07-20,correctivo,,110835.2,Gomería y Mecánica El Rápido,101578
212,18,2023-01-05,preventivo,cambio_aceite_filtro,120000.0,Taller Rodríguez Hnos.,30457
213,18,2023-01-05,preventivo,frenos,120000.0,Service Oficial Mercedes-Benz,53312
214,18,2023-06-03,preventivo,cambio_aceite_filtro,130000.0,Service Oficial Iveco,35594
215,18,2023-10-03,preventivo,cubiertas,135000.0,Taller Mecánico La Ruta,48273
216,18,2023-12-08,preventivo,cambio_aceite_filtro,140000.0,Frenos y Embragues Sur,66504
217,18,2024-04-06,preventivo,cambio_aceite_filtro,150000.0,Taller Mecánico La Ruta,76616
218,18,2024-04-06,preventivo,frenos,150000.0,Service Oficial Iveco,127029
219,18,2024-05-08,correctivo,,151501.8,Taller Central de Flota,178561
220,18,2024-11-16,preventivo,cambio_aceite_filtro,160000.0,Service Oficial Mercedes-Benz,95157
221,18,2024-11-16,preventivo,correa_distribucion,160000.0,Taller Mecánico San Martín,186719
222,19,2023-07-06,correctivo,,9386.4,Taller Central de Flota,284724
223,19,2023-07-19,preventivo,cambio_aceite_filtro,10000.0,Taller Mecánico San Martín,35361
224,19,2024-01-06,preventivo,cambio_aceite_filtro,20000.0,Gomería y Mecánica El Rápido,54089
225,19,2024-03-29,correctivo,,25372.7,Taller Central de Flota,135266
226,19,2024-07-18,preventivo,cambio_aceite_filtro,30000.0,Service Oficial Iveco,59273
227,19,2024-07-18,preventivo,frenos,30000.0,Service Oficial Mercedes-Benz,142529
228,19,2024-12-21,preventivo,cambio_aceite_filtro,40000.0,Service Oficial Iveco,90634
229,20,2022-04-19,preventivo,cambio_aceite_filtro,120000.0,Gomería y Mecánica El Rápido,29715
230,20,2022-04-19,preventivo,frenos,120000.0,Taller Mecánico San Martín,43951
231,20,2022-12-21,preventivo,cambio_aceite_filtro,130000.0,Taller Mecánico San Martín,46694
232,20,2023-02-20,preventivo,cubiertas,135000.0,Frenos y Embragues Sur,20549
233,20,2023-03-25,correctivo,,137391.8,Taller Mecánico La Ruta,143807
234,20,2023-06-09,preventivo,cambio_aceite_filtro,140000.0,Service Oficial Iveco,28752
235,20,2023-12-21,preventivo,cambio_aceite_filtro,150000.0,Service Oficial Mercedes-Benz,69376
236,20,2023-12-21,preventivo,frenos,150000.0,Service Oficial Iveco,112884
237,20,2024-06-05,preventivo,cambio_aceite_filtro,160000.0,Taller Mecánico La Ruta,71753
238,20,2024-06-05,preventivo,correa_distribucion,160000.0,Taller Mecánico La Ruta,164935
239,20,2024-12-01,preventivo,cambio_aceite_filtro,170000.0,Frenos y Embragues Sur,85539
240,21,2022-02-23,preventivo,cambio_aceite_filtro,120000.0,Taller Mecánico La Ruta,26401
241,21,2022-02-23,preventivo,frenos,120000.0,Taller Mecánico San Martín,30680
242,21,2022-08-04,preventivo,cambio_aceite_filtro,130000.0,Taller Mecánico La Ruta,25083
243,21,2022-10-18,preventivo,cubiertas,135000.0,Frenos y Embragues Sur,27213
244,21,2022-12-13,preventivo,cambio_aceite_filtro,140000.0,Taller Mecánico La Ruta,28613
245,21,2023-03-20,preventivo,cambio_aceite_filtro,150000.0,Taller Rodríguez Hnos.,43038
246,21,2023-03-20,preventivo,frenos,150000.0,Taller Mecánico San Martín,65268
247,21,2023-08-25,preventivo,cambio_aceite_filtro,160000.0,Taller Mecánico San Martín,49897
248,21,2023-08-25,preventivo,correa_distribucion,160000.0,Service Oficial Mercedes-Benz,155893
249,21,2023-12-10,preventivo,cambio_aceite_filtro,170000.0,Taller Mecánico San Martín,55481
250,21,2024-03-26,preventivo,cambio_aceite_filtro,180000.0,Frenos y Embragues Sur,39144
251,21,2024-03-26,preventivo,frenos,180000.0,Service Oficial Iveco,107831
252,21,2024-03-26,preventivo,cubiertas,180000.0,Frenos y Embragues Sur,46704
253,21,2024-07-30,correctivo,,187976.6,Taller Mecánico La Ruta,86715
254,21,2024-08-26,preventivo,cambio_aceite_filtro,190000.0,Taller Mecánico San Martín,70115
255,21,2024-12-21,preventivo,cambio_aceite_filtro,200000.0,Gomería y Mecánica El Rápido,99799
256,22,2023-09-03,preventivo,cambio_aceite_filtro,10000.0,Taller Rodríguez Hnos.,34264
257,22,2023-12-24,preventivo,cambio_aceite_filtro,20000.0,Gomería y Mecánica El Rápido,60638
258,22,2024-03-29,preventivo,cambio_aceite_filtro,30000.0,Service Oficial Iveco,60758
259,22,2024-03-29,preventivo,frenos,30000.0,Service Oficial Iveco,70724
260,22,2024-04-20,correctivo,,32110.2,Taller Diesel Norte,59244
261,22,2024-08-25,preventivo,cambio_aceite_filtro,40000.0,Taller Central de Flota,76161
262,22,2024-10-22,preventivo,cubiertas,45000.0,Frenos y Embragues Sur,47826
263,22,2024-12-11,preventivo,cambio_aceite_filtro,50000.0,Taller Diesel Norte,70274
264,23,2022-03-14,preventivo,cambio_aceite_filtro,100000.0,Taller Diesel Norte,32879
265,23,2022-03-26,correctivo,,100846.8,Service Oficial Iveco,73423
266,23,2022-08-25,preventivo,cambio_aceite_filtro,110000.0,Taller Diesel Norte,23358
267,23,2022-12-24,preventivo,cambio_aceite_filtro,120000.0,Gomería y Mecánica El Rápido,32013
268,23,2022-12-24,preventivo,frenos,120000.0,Service Oficial Mercedes-Benz,72345
269,23,2023-04-11,preventivo,cambio_aceite_filtro,130000.0,Service Oficial Iveco,45224
270,23,2023-04-12,correctivo,,130142.1,Frenos y Embragues Sur,200167
271,23,2023-04-13,correctivo,,130182.8,Service Oficial Mercedes-Benz,285888
272,23,2023-06-29,preventivo,cubiertas,135000.0,Taller Mecánico La Ruta,25549
273,23,2023-09-15,preventivo,cambio_aceite_filtro,140000.0,Service Oficial Mercedes-Benz,55463
274,23,2023-12-07,correctivo,,147577.3,Taller Mecánico San Martín,204557
275,23,2023-12-29,preventivo,cambio_aceite_filtro,150000.0,Taller Mecánico La Ruta,59187
276,23,2023-12-29,preventivo,frenos,150000.0,Taller Mecánico San Martín,119905
277,23,2024-04-03,preventivo,cambio_aceite_filtro,160000.0,Taller Central de Flota,83230
278,23,2024-04-03,preventivo,correa_distribucion,160000.0,Service Oficial Iveco,206663
279,23,2024-05-25,correctivo,,164212.7,Taller Rodríguez Hnos.,292423
280,23,2024-09-10,preventivo,cambio_aceite_filtro,170000.0,Service Oficial Iveco,86550
281,23,2024-10-26,correctivo,,173500.8,Taller Rodríguez Hnos.,452492
282,23,2024-12-12,correctivo,,178235.2,Service Oficial Iveco,136581
283,23,2024-12-30,preventivo,cambio_aceite_filtro,180000.0,Taller Mecánico San Martín,57005
284,23,2024-12-30,preventivo,frenos,180000.0,Service Oficial Mercedes-Benz,112970
285,23,2024-12-30,preventivo,cubiertas,180000.0,Taller Central de Flota,62692
286,24,2024-04-13,preventivo,cambio_aceite_filtro,10000.0,Frenos y Embragues Sur,44608
287,24,2024-09-05,preventivo,cambio_aceite_filtro,20000.0,Taller Mecánico San Martín,70667
288,24,2024-12-29,preventivo,cambio_aceite_filtro,30000.0,Taller Rodríguez Hnos.,76717
289,24,2024-12-29,preventivo,frenos,30000.0,Taller Mecánico San Martín,123225
290,25,2022-01-30,preventivo,cambio_aceite_filtro,130000.0,Service Oficial Iveco,27392
291,25,2022-04-04,preventivo,cubiertas,135000.0,Taller Mecánico La Ruta,23151
292,25,2022-06-26,preventivo,cambio_aceite_filtro,140000.0,Taller Rodríguez Hnos.,35636
293,25,2022-11-06,preventivo,cambio_aceite_filtro,150000.0,Taller Mecánico La Ruta,46167
294,25,2022-11-06,preventivo,frenos,150000.0,Service Oficial Iveco,39316
295,25,2022-12-24,correctivo,,155191.3,Gomería y Mecánica El Rápido,43769
296,25,2023-02-12,preventivo,cambio_aceite_filtro,160000.0,Taller Diesel Norte,47152
297,25,2023-02-12,preventivo,correa_distribucion,160000.0,Taller Diesel Norte,79604
298,25,2023-03-04,correctivo,,161908.6,Frenos y Embragues Sur,99258
299,25,2023-06-13,preventivo,cambio_aceite_filtro,170000.0,Taller Diesel Norte,43822
300,25,2023-10-20,preventivo,cambio_aceite_filtro,180000.0,Taller Diesel Norte,53625
301,25,2023-10-20,preventivo,frenos,180000.0,Taller Mecánico La Ruta,89988
302,25,2023-10-20,preventivo,cubiertas,180000.0,Taller Diesel Norte,45828
303,25,2023-12-01,correctivo,,183765.8,Taller Central de Flota,111944
304,25,2024-01-26,preventivo,cambio_aceite_filtro,190000.0,Frenos y Embragues Sur,67442
305,25,2024-05-25,preventivo,cambio_aceite_filtro,200000.0,Taller Rodríguez Hnos.,45124
306,25,2024-10-29,preventivo,cambio_aceite_filtro,210000.0,Gomería y Mecánica El Rápido,100865
307,25,2024-10-29,preventivo,frenos,210000.0,Taller Central de Flota,115254
308,26,2022-02-05,preventivo,cambio_aceite_filtro,140000.0,Taller Mecánico San Martín,28965
