carga_id,vehiculo_id,fecha,litros,precio_litro,km_odometro
44,1,2023-01-23,80.8,601.8,133192.4
45,1,2023-01-26,65.3,602.7,133585.7
46,1,2023-02-02,100.7,630.3,134186.7
47,1,2023-02-06,66.1,584.6,134611.3
48,1,2023-02-11,71.3,622.1,135096.3
49,1,2023-02-16,58.4,616.4,135509.6
50,1,2023-02-21,81.4,593.7,136081.7
51,1,2023-02-25,95.6,623.0,136766.5
52,1,2023-03-01,73.0,618.0,137207.0
53,1,2023-03-05,99.4,614.7,137856.4
54,1,2023-03-10,87.2,613.8,138404.0
55,1,2023-03-17,60.9,588.5,138786.4
56,1,2023-03-26,91.3,612.2,139335.4
57,1,2023-03-31,81.8,589.8,139880.3
58,1,2023-04-07,68.6,699.1,140317.3
59,1,2023-04-19,65.8,688.8,140754.6
60,1,2023-04-30,89.0,700.4,141305.0
61,1,2023-05-06,86.1,704.4,141828.4
62,1,2023-05-18,98.5,691.9,142431.7
63,1,2023-05-25,69.9,724.3,142936.9
64,1,2023-06-05,76.2,693.6,143391.0
65,1,2023-06-17,75.7,685.4,143883.4
66,1,2023-06-27,84.1,680.6,144438.5
67,1,2023-07-13,79.9,783.0,144922.2
68,1,2023-07-19,87.5,808.9,145524.6
69,1,2023-07-31,75.4,822.1,146013.6
70,1,2023-08-15,78.1,800.0,146491.5
71,1,2023-08-24,73.6,769.7,146988.0
72,1,2023-08-30,94.9,830.9,147584.7
73,1,2023-09-10,80.5,775.4,148083.5
74,1,2023-09-19,101.9,815.0,148691.6
75,1,2023-09-30,93.8,797.8,149305.7
76,1,2023-10-06,95.5,934.5,149895.2
77,1,2023-10-10,67.0,930.9,150318.6
78,1,2023-10-16,94.0,874.9,150918.9
79,1,2023-10-24,88.6,899.9,151529.7
80,1,2023-10-29,103.3,880.7,152157.0
81,1,2023-11-03,86.1,916.4,152730.3
82,1,2023-11-09,87.1,879.4,153343.6
83,1,2023-11-16,73.9,929.3,153834.1
84,1,2023-11-21,98.3,928.6,154428.6
85,1,2023-11-29,78.4,915.4,154906.2
86,1,2023-12-03,114.1,933.9,155585.9
87,1,2023-12-08,103.8,911.9,156244.6
88,1,2023-12-12,74.4,879.3,156778.8
89,1,2023-12-18,83.4,889.6,157375.1
90,1,2023-12-23,25.9,910.2,157902.3
91,1,2023-12-26,82.3,898.0,158406.6
92,1,2023-12-30,75.4,878.1,158916.3
93,1,2024-01-03,86.6,938.9,159525.6
94,1,2024-01-08,67.9,1004.6,159963.7
95,1,2024-01-11,57.8,1005.1,160368.0
96,1,2024-01-16,75.5,963.1,160874.9
97,1,2024-01-23,212.1,951.1,161524.8
98,1,2024-01-27,86.6,948.1,162050.6
99,1,2024-01-31,200.2,1015.8,162509.7
100,1,2024-02-05,98.4,942.1,163138.1
101,1,2024-02-10,82.1,1006.5,163664.5
102,1,2024-02-14,75.8,982.5,164143.2
103,1,2024-02-21,83.6,1007.8,164699.7
104,1,2024-02-25,71.9,1005.4,165201.2
105,1,2024-03-02,84.4,995.4,165751.0
106,1,2024-03-10,97.7,940.0,166428.6
107,1,2024-03-15,85.9,983.6,167010.5
108,1,2024-03-22,75.2,950.9,167512.4
109,1,2024-03-27,86.6,959.9,168051.8
110,1,2024-03-31,71.1,975.8,168539.8
111,1,2024-04-06,99.2,1114.6,169156.2
112,1,2024-04-14,100.4,1045.1,169838.7
113,1,2024-04-18,83.6,1110.3,170412.7
114,1,2024-04-25,77.0,1118.1,170890.3
115,1,2024-05-01,66.6,1075.6,171354.5
116,1,2024-05-07,64.5,1058.2,171790.1
117,1,2024-05-13,64.7,1079.1,172191.2
118,1,2024-05-19,86.9,1050.9,172761.0
119,1,2024-05-25,104.6,1089.3,173393.3
120,1,2024-05-31,91.7,1100.8,173940.3
121,1,2024-06-08,90.8,1090.5,174552.6
122,1,2024-06-18,78.2,1042.1,175018.4
123,1,2024-06-26,71.7,1064.3,175496.8
124,1,2024-07-02,87.8,1169.9,176074.0
125,1,2024-07-08,70.2,1231.4,176500.3
126,1,2024-07-16,87.7,1190.6,177047.6
127,1,2024-07-24,88.1,1179.1,177641.9
128,1,2024-07-27,69.2,1139.3,178080.8
129,1,2024-08-04,72.0,1163.5,178536.7
130,1,2024-08-10,90.0,1227.7,179120.0
131,1,2024-08-16,80.0,1202.4,179598.1
132,1,2024-08-23,63.7,1218.3,180019.1
133,1,2024-08-28,75.7,1223.9,180530.8
134,1,2024-09-03,94.2,1180.7,181116.5
135,1,2024-09-09,73.8,1158.1,181590.6
136,1,2024-09-14,92.4,1150.5,182161.3
137,1,2024-09-21,78.6,1196.1,182712.4
138,1,2024-09-26,93.4,1221.3,183290.1
139,1,2024-09-30,96.1,1184.9,183928.0
140,1,2024-10-05,81.2,1390.6,184456.7
141,1,2024-10-12,100.5,1400.8,185078.5
142,1,2024-10-17,78.7,1407.1,185556.0
143,1,2024-10-22,80.6,1395.7,186140.0
144,1,2024-10-25,58.2,1405.1,186547.2
145,1,2024-10-31,86.5,1366.1,187141.1
146,1,2024-11-05,81.7,1320.4,187650.0
147,1,2024-11-09,73.8,1382.4,188089.9
148,1,2024-11-13,73.8,1335.2,188539.1
149,1,2024-11-19,22.4,1316.5,189008.6
150,1,2024-11-24,78.1,1353.2,189488.2
151,1,2024-11-27,71.9,1318.3,189952.1
152,1,2024-12-01,62.3,1362.4,190387.5
153,1,2024-12-05,71.3,1385.3,190845.9
154,1,2024-12-10,72.8,1346.1,191358.4
155,1,2024-12-15,70.5,1412.6,191847.1
156,1,2024-12-18,64.1,1404.2,192256.7
157,1,2024-12-23,94.7,1414.7,192887.9
158,1,2024-12-28,72.6,1352.6,193363.3
159,2,2022-01-20,89.8,411.9,133369.6
160,2,2022-02-01,98.6,392.4,133890.4
161,2,2022-02-11,90.5,406.2,134412.5
162,2,2022-02-22,111.8,411.6,134972.5
163,2,2022-03-03,103.4,398.0,135509.9
164,2,2022-03-11,88.3,390.8,136003.0
165,2,2022-03-16,74.7,409.4,136376.0
166,2,2022-03-29,99.7,400.1,136887.8
167,2,2022-04-11,108.1,432.5,137440.1
168,2,2022-04-27,99.1,438.1,137967.4
169,2,2022-05-01,89.9,455.2,138472.6
170,2,2022-05-13,100.8,437.0,139007.4
171,2,2022-05-21,101.1,453.6,139536.8
172,2,2022-05-30,75.7,440.7,139923.8
173,2,2022-06-11,104.7,455.8,140531.0
174,2,2022-06-23,77.0,449.8,140917.0
175,2,2022-07-06,90.0,498.0,141411.5
176,2,2022-07-18,98.4,484.8,141905.5
177,2,2022-07-24,73.2,522.8,142303.1
178,2,2022-08-08,91.2,515.7,142788.1
179,2,2022-08-25,98.7,514.5,143282.7
180,2,2022-09-08,89.3,490.2,143796.5
181,2,2022-09-15,112.7,523.5,144409.5
182,2,2022-09-26,86.0,485.4,144904.3
183,2,2022-10-04,106.4,565.6,145467.3
184,2,2022-10-21,123.9,579.6,146103.4
185,2,2022-10-31,92.4,586.8,146594.4
186,2,2022-11-08,79.8,570.2,147056.4
187,2,2022-11-13,114.4,558.6,147682.0
188,2,2022-11-20,90.6,580.2,148177.1
189,2,2022-11-29,104.3,564.0,148783.6
190,2,2022-12-04,89.7,562.9,149278.2
191,2,2022-12-09,87.5,574.0,149722.6
192,2,2022-12-14,109.2,568.6,150379.9
193,2,2022-12-20,88.3,584.7,150888.1
194,2,2022-12-26,124.2,561.8,151551.0
195,2,2022-12-31,131.7,584.1,152210.1
196,2,2023-01-06,91.1,623.7,152744.1
197,2,2023-01-13,81.0,621.6,153208.0
198,2,2023-01-20,89.9,594.1,153654.4
199,2,2023-01-26,90.8,593.5,154162.0
200,2,2023-01-31,109.9,604.1,154739.0
201,2,2023-02-04,96.2,606.8,155238.2
202,2,2023-02-07,78.2,628.2,155682.4
203,2,2023-02-11,96.2,603.6,156246.5
204,2,2023-02-15,85.7,622.1,156746.2
205,2,2023-02-19,78.0,626.2,157195.1
206,2,2023-02-23,89.8,619.5,157658.5
207,2,2023-03-01,93.6,595.6,158190.4
208,2,2023-03-05,108.9,596.0,158751.7
209,2,2023-03-10,104.8,619.2,159291.4
210,2,2023-03-18,134.8,604.1,159961.6
211,2,2023-03-23,111.4,598.7,160516.3
212,2,2023-04-04,116.0,704.0,161123.0
213,2,2023-04-11,89.7,678.9,161621.5
214,2,2023-04-21,125.8,689.9,162302.6
215,2,2023-04-28,88.5,702.9,162762.6
216,2,2023-05-05,110.7,730.8,163356.4
217,2,2023-05-18,132.4,683.5,164014.5
218,2,2023-05-30,101.0,695.5,164542.5
219,2,2023-06-09,86.7,723.5,165049.0
220,2,2023-06-21,87.6,727.3,165554.2
221,2,2023-07-04,95.1,812.5,166059.8
222,2,2023-07-21,116.0,783.2,166699.1
223,2,2023-07-28,104.8,799.5,167256.8
224,2,2023-08-04,89.2,799.7,167744.3
225,2,2023-08-14,84.3,768.1,168230.3
226,2,2023-08-27,113.0,809.1,168830.8
227,2,2023-09-05,90.9,832.0,169302.2
228,2,2023-09-11,77.0,831.4,169714.7
229,2,2023-09-17,87.4,821.4,170220.1
230,2,2023-09-22,80.0,819.2,170618.2
231,2,2023-09-27,77.2,794.2,171038.0
232,2,2023-10-07,105.9,929.9,171620.7
233,2,2023-10-17,93.1,916.9,172175.2
234,2,2023-10-20,69.8,906.8,172547.7
235,2,2023-10-26,94.1,885.5,173022.8
236,2,2023-11-03,75.0,900.7,173448.2
237,2,2023-11-07,91.6,921.5,173999.0
238,2,2023-11-14,110.3,877.6,174587.8
239,2,2023-11-20,91.4,942.3,175047.2
240,2,2023-11-23,68.7,945.2,175461.0
241,2,2023-11-27,100.3,919.3,175972.3
242,2,2023-12-02,117.1,909.0,176582.4
243,2,2023-12-07,90.3,908.3,177107.8
244,2,2023-12-12,111.8,919.6,177677.4
245,2,2023-12-18,136.7,879.7,178397.5
246,2,2023-12-22,108.0,935.9,178948.4
247,2,2023-12-27,90.2,885.7,179440.5
248,2,2023-12-31,103.2,912.6,180008.9
249,2,2024-01-04,86.7,939.3,180467.5
250,2,2024-01-07,91.4,979.7,180936.8
251,2,2024-01-12,95.2,1011.9,181499.2
252,2,2024-01-15,69.9,987.6,181896.8
253,2,2024-01-20,107.0,1015.4,182523.1
254,2,2024-01-24,72.3,975.3,182918.7
255,2,2024-01-28,98.0,971.3,183452.1
256,2,2024-02-02,105.7,960.1,183990.1
257,2,2024-02-09,128.1,991.4,184702.7
258,2,2024-02-13,78.1,974.7,185141.2
259,2,2024-02-17,96.3,941.2,185627.7
260,2,2024-02-21,87.5,1011.4,186141.5
261,2,2024-02-25,92.5,978.8,186661.3
262,2,2024-02-29,94.9,941.3,187138.4
263,2,2024-03-05,89.6,967.8,187648.3
264,2,2024-03-10,94.5,1015.7,188194.7
265,2,2024-03-14,119.2,1004.2,188811.0
266,2,2024-03-20,102.0,998.4,189414.6
267,2,2024-03-24,73.5,1005.2,189792.9
268,2,2024-03-27,80.1,958.9,190272.2
269,2,2024-03-31,101.4,963.8,190784.7
270,2,2024-04-05,90.3,1072.5,191291.1
271,2,2024-04-13,107.1,1107.4,191871.4
272,2,2024-04-20,119.2,1042.6,192508.5
273,2,2024-04-24,108.1,1052.8,193050.7
274,2,2024-04-30,82.5,1076.1,193537.8
275,2,2024-05-06,125.9,1067.4,194168.0
276,2,2024-05-13,87.4,1093.2,194688.3
277,2,2024-05-22,92.6,1064.4,195158.1
278,2,2024-05-28,87.6,1053.8,195659.2
279,2,2024-06-02,98.5,1087.5,196168.7
280,2,2024-06-08,120.7,1076.3,196801.3
281,2,2024-06-18,77.0,1091.1,197203.2
282,2,2024-06-26,103.9,1092.8,197802.5
283,2,2024-07-06,108.1,1156.3,198349.5
284,2,2024-07-10,86.7,1165.7,198811.8
285,2,2024-07-15,85.1,1182.1,199238.0
286,2,2024-07-24,97.7,1231.7,199759.9
287,2,2024-07-30,73.4,1153.9,200171.7
288,2,2024-08-09,99.6,1157.2,200740.5
289,2,2024-08-17,84.4,1178.0,201172.7
290,2,2024-08-22,104.4,1143.9,201794.0
291,2,2024-09-02,267.0,1218.3,202402.2
292,2,2024-09-07,82.6,1151.6,202851.9
293,2,2024-09-13,98.7,1177.1,203370.8
294,2,2024-09-17,91.4,1172.0,203888.4
295,2,2024-09-21,84.2,1159.9,204330.0
296,2,2024-09-27,88.4,1208.3,204769.6
297,2,2024-09-30,24.3,1193.8,205223.2
298,2,2024-10-04,108.8,1397.6,205809.7
299,2,2024-10-10,123.4,1385.5,206505.0
300,2,2024-10-16,107.5,1412.8,207087.1
301,2,2024-10-21,83.1,1386.6,207520.5
302,2,2024-10-26,101.7,1415.6,208094.6
303,2,2024-10-30,94.3,1333.2,208562.4
304,2,2024-11-04,96.4,1382.9,209079.3
305,2,2024-11-08,106.3,1322.1,209654.0
306,2,2024-11-13,100.3,1391.2,210190.5
307,2,2024-11-18,124.2,1367.8,210821.9
308,2,2024-11-23,92.5,1336.7,211285.6
309,2,2024-11-27,99.9,1323.2,211802.0
310,2,2024-12-02,111.3,1371.4,212365.8
311,2,2024-12-05,75.0,1414.9,212815.5
312,2,2024-12-09,97.0,1381.2,213302.1
313,2,2024-12-13,108.0,1327.0,213922.8
314,2,2024-12-18,79.4,1410.7,214366.6
315,2,2024-12-21,84.4,1378.8,214798.2
316,2,2024-12-26,129.4,1312.4,215465.9
317,2,2024-12-29,88.1,1368.7,215961.3
318,3,2022-01-11,71.7,404.2,109383.0
319,3,2022-01-18,58.0,405.9,109888.6
320,3,2022-01-24,73.7,382.7,110525.7
321,3,2022-01-30,70.2,411.7,111110.6
322,3,2022-02-07,61.7,396.5,111679.4
323,3,2022-02-16,71.1,395.1,112265.5
324,3,2022-03-07,86.9,393.4,113082.7
325,3,2022-03-19,80.0,410.1,113753.1
326,3,2022-03-28,81.8,410.4,114547.3
327,3,2022-04-07,67.0,448.6,115182.0
328,3,2022-04-17,80.8,451.6,115862.7
329,3,2022-05-10,84.9,435.8,116662.8
330,3,2022-05-28,66.7,437.6,117261.0
331,3,2022-06-15,63.6,450.0,117802.2
332,3,2022-07-19,79.5,518.7,118453.3
333,3,2022-08-08,83.6,502.3,119155.5
334,3,2022-08-22,90.9,503.7,119912.0
335,3,2022-09-06,84.8,488.9,120633.3
336,3,2022-09-13,63.8,501.9,121221.0
337,3,2022-09-25,58.5,497.9,121777.8
338,3,2022-10-06,88.5,586.3,122517.5
339,3,2022-10-17,75.3,589.1,123214.1
340,3,2022-10-26,62.3,580.4,123730.1
341,3,2022-11-03,75.9,562.1,124463.5
342,3,2022-11-10,58.8,584.2,124946.1
343,3,2022-11-14,52.5,574.6,125384.5
344,3,2022-11-20,74.7,557.3,126037.8
345,3,2022-11-26,69.0,547.9,126611.1
346,3,2022-12-02,61.5,559.2,127166.0
347,3,2022-12-08,71.6,579.6,127840.9
348,3,2022-12-13,58.2,558.4,128345.8
349,3,2022-12-20,69.2,556.7,128999.9
350,3,2022-12-25,65.8,580.6,129551.9
351,3,2022-12-31,76.1,550.9,130226.4
352,3,2023-01-06,73.2,585.0,130864.0
353,3,2023-01-12,21.4,588.6,131498.0
354,3,2023-01-17,69.3,590.2,132066.2
355,3,2023-01-23,64.8,614.3,132594.6
356,3,2023-01-29,75.8,586.8,133251.3
357,3,2023-02-06,77.6,585.7,133979.0
358,3,2023-02-13,81.2,601.8,134677.3
359,3,2023-02-19,71.0,588.2,135313.6
360,3,2023-02-25,59.8,599.8,135870.2
361,3,2023-03-10,84.0,584.6,136644.1
362,3,2023-03-17,62.8,610.4,137194.1
363,3,2023-03-22,67.3,590.3,137797.8
364,3,2023-03-31,79.9,613.9,138480.7
365,3,2023-04-11,71.2,710.4,139109.1
366,3,2023-04-23,78.7,722.8,139749.9
367,3,2023-05-03,67.2,680.5,140338.6
368,3,2023-05-21,90.1,694.4,141076.4
369,3,2023-05-26,62.2,691.1,141651.5
370,3,2023-06-05,81.5,710.9,142314.7
371,3,2023-06-16,54.2,701.3,142760.7
372,3,2023-06-24,72.7,681.5,143441.9
373,3,2023-07-05,70.3,796.3,144098.2
374,3,2023-07-13,74.4,769.1,144732.4
375,3,2023-07-28,77.5,810.3,145462.5
376,3,2023-08-05,75.9,826.7,146087.7
377,3,2023-08-14,77.9,829.1,146816.4
378,3,2023-08-22,62.9,828.1,147361.3
379,3,2023-09-03,75.8,785.5,148014.4
380,3,2023-09-13,55.0,776.3,148535.8
381,3,2023-09-24,89.0,822.0,149296.2
382,3,2023-10-01,54.4,921.1,149826.8
383,3,2023-10-07,77.5,888.1,150538.3
384,3,2023-10-12,75.2,884.9,151150.3
385,3,2023-10-18,73.7,923.5,151793.9
386,3,2023-10-26,69.7,893.3,152414.1
387,3,2023-11-01,63.7,888.7,153024.6
388,3,2023-11-05,52.1,881.4,153499.1
389,3,2023-11-10,60.9,904.9,154026.1
390,3,2023-11-14,67.1,932.1,154641.8
391,3,2023-11-21,69.9,933.7,155286.0
392,3,2023-11-27,88.1,906.5,156049.0
393,3,2023-12-02,64.7,900.4,156578.1
394,3,2023-12-08,74.5,933.0,157235.2
395,3,2023-12-16,74.0,915.7,157950.7
396,3,2023-12-21,64.4,888.3,158543.6
397,3,2023-12-26,76.6,925.8,159208.1
398,3,2023-12-31,72.8,894.6,159836.4
399,3,2024-01-04,55.5,972.1,160338.5
400,3,2024-01-09,76.8,977.1,160965.7
401,3,2024-01-14,65.5,941.9,161497.6
402,3,2024-01-18,71.2,980.9,162082.5
403,3,2024-01-24,20.1,972.1,162702.3
404,3,2024-01-29,83.9,955.6,163402.4
405,3,2024-02-07,84.7,1002.4,164153.8
406,3,2024-02-11,56.7,998.7,164631.4
407,3,2024-02-15,75.8,966.1,165330.4
408,3,2024-02-21,69.1,962.8,165935.8
409,3,2024-02-25,60.5,941.0,166481.3
410,3,2024-03-01,106.8,1012.8,167361.4
411,3,2024-03-10,59.2,949.0,167895.7
412,3,2024-03-14,75.9,946.8,168519.7
413,3,2024-03-20,77.3,1001.7,169157.5
414,3,2024-03-26,80.2,961.6,169870.3
415,3,2024-04-02,69.2,1050.1,170468.8
416,3,2024-04-09,68.0,1121.8,171067.6
417,3,2024-04-14,146.3,1059.6,171682.1
418,3,2024-04-17,54.8,1095.4,172136.7
419,3,2024-04-28,90.6,1117.7,172872.9
420,3,2024-05-06,81.9,1090.3,173568.7
421,3,2024-05-15,71.2,1084.5,174196.6
422,3,2024-05-24,65.6,1109.2,174788.3
423,3,2024-05-31,83.7,1037.0,175534.2
424,3,2024-06-10,97.3,1086.0,176345.3
425,3,2024-06-15,61.0,1095.6,176889.4
426,3,2024-06-22,66.4,1089.4,177436.4
427,3,2024-06-27,56.3,1080.5,177980.2
428,3,2024-07-09,62.7,1204.2,178542.3
429,3,2024-07-19,95.5,1168.7,179333.4
430,3,2024-07-27,69.2,1165.1,179969.2
431,3,2024-08-03,79.3,1229.7,180623.8
432,3,2024-08-09,72.1,1166.5,181235.1
433,3,2024-08-15,68.7,1210.0,181819.4
434,3,2024-08-21,74.2,1211.3,182495.4
435,3,2024-08-31,76.3,1221.1,183115.0
436,3,2024-09-06,200.9,1151.0,183864.8
437,3,2024-09-13,69.8,1194.5,184473.4
438,3,2024-09-19,74.0,1216.6,185163.3
439,3,2024-09-28,74.5,1176.8,185772.1
440,3,2024-10-06,70.7,1314.3,186398.4
441,3,2024-10-12,77.6,1343.5,187125.8
442,3,2024-10-18,70.0,1317.3,187760.0
443,3,2024-10-23,56.9,1325.1,188275.4
444,3,2024-10-28,66.0,1407.0,188882.3
445,3,2024-11-02,64.3,1364.3,189495.0
446,3,2024-11-07,61.1,1376.6,190052.7
447,3,2024-11-11,54.1,1313.8,190554.5
448,3,2024-11-16,63.6,1347.2,191174.6
449,3,2024-11-21,78.0,1404.2,191808.2
450,3,2024-11-28,79.9,1400.6,192474.8
451,3,2024-12-05,75.6,1329.3,193139.3
452,3,2024-12-11,89.2,1366.8,193986.3
453,3,2024-12-15,58.5,1320.3,194527.5
454,3,2024-12-20,63.5,1412.4,195121.0
455,3,2024-12-25,62.3,1367.0,195728.8
456,3,2024-12-29,64.3,1400.4,196254.6
457,4,2022-01-07,137.8,389.4,133522.5
458,4,2022-01-14,162.5,392.5,134090.4
459,4,2022-01-22,147.0,390.9,134596.6
460,4,2022-02-01,140.8,402.2,135144.8
461,4,2022-02-07,169.5,395.8,135768.7
462,4,2022-02-19,148.3,390.8,136284.7
463,4,2022-02-24,141.8,395.3,136802.2
464,4,2022-03-05,169.6,402.9,137396.9
465,4,2022-03-20,172.8,393.8,138033.8
466,4,2022-04-01,446.9,434.0,138661.6
467,4,2022-04-23,205.7,436.4,139468.5
468,4,2022-05-05,130.9,438.2,139908.0
469,4,2022-05-24,184.5,443.7,140574.8
470,4,2022-06-04,133.7,440.5,141032.6
471,4,2022-06-16,157.7,438.5,141571.4
472,4,2022-06-27,163.2,452.3,142172.3
473,4,2022-07-04,166.7,520.1,142741.0
474,4,2022-07-21,173.1,487.2,143351.8
475,4,2022-08-02,126.0,518.7,143836.9
476,4,2022-08-09,129.4,523.2,144350.1
477,4,2022-08-23,179.7,503.5,145023.2
478,4,2022-09-11,149.2,491.6,145599.0
479,4,2022-09-20,125.9,492.8,146061.5
480,4,2022-09-28,156.4,500.4,146579.1
481,4,2022-10-06,118.5,561.6,147046.6
482,4,2022-10-14,133.1,553.1,147561.9
483,4,2022-10-21,124.8,571.1,148059.8
484,4,2022-10-29,129.1,560.4,148555.6
485,4,2022-11-09,204.7,562.3,149244.1
486,4,2022-11-17,158.5,583.5,149783.0
487,4,2022-11-23,162.6,558.2,150402.5
488,4,2022-11-29,132.2,583.8,150878.0
489,4,2022-12-07,168.0,572.8,151464.6
490,4,2022-12-13,146.6,565.2,152008.5
491,4,2022-12-17,137.1,566.6,152499.1
492,4,2022-12-24,138.6,554.2,152991.0
493,4,2022-12-29,127.3,573.0,153480.1
494,4,2023-01-04,162.3,588.7,154092.9
495,4,2023-01-09,161.0,608.4,154642.3
496,4,2023-01-14,170.6,622.9,155263.8
497,4,2023-01-20,190.4,619.6,155917.0
498,4,2023-01-25,192.5,618.5,156615.7
499,4,2023-01-29,171.8,596.4,157254.1
500,4,2023-02-03,127.5,607.1,157713.8
501,4,2023-02-09,191.2,625.9,158404.8
502,4,2023-02-15,143.8,618.4,158931.0
503,4,2023-02-20,174.6,627.8,159510.0
504,4,2023-02-27,181.1,608.0,160218.6
505,4,2023-03-04,135.5,627.1,160708.6
506,4,2023-03-12,154.8,593.3,161244.9
507,4,2023-03-16,143.2,589.5,161780.0
508,4,2023-03-23,379.6,600.3,162345.5
509,4,2023-03-29,157.4,631.5,162910.9
510,4,2023-04-04,151.9,706.3,163475.3
511,4,2023-04-10,187.4,724.2,164127.7
512,4,2023-04-19,112.6,723.7,164563.5
513,4,2023-04-26,124.6,726.1,165036.5
514,4,2023-05-04,153.2,718.7,165560.5
515,4,2023-05-15,217.6,692.3,166365.7
516,4,2023-05-29,170.6,732.1,166939.0
517,4,2023-06-06,150.0,706.1,167489.7
518,4,2023-06-16,168.5,707.2,168166.4
519,4,2023-06-29,297.2,728.7,168627.9
520,4,2023-07-07,170.1,781.0,169231.5
521,4,2023-07-21,144.5,772.4,169800.8
522,4,2023-07-30,146.1,776.0,170300.6
523,4,2023-08-07,144.6,821.3,170789.6
524,4,2023-08-15,132.5,799.2,171231.4
525,4,2023-08-30,189.3,777.5,171922.0
526,4,2023-09-04,181.4,814.4,172569.3
527,4,2023-09-10,150.2,798.3,173134.5
528,4,2023-09-19,209.7,809.9,173858.9
529,4,2023-09-24,156.9,815.9,174399.2
530,4,2023-10-02,114.1,886.4,174823.8
531,4,2023-10-07,153.3,875.5,175352.0
532,4,2023-10-15,127.8,888.1,175807.9
533,4,2023-10-18,118.9,935.1,176256.5
534,4,2023-10-23,152.0,877.5,176831.5
535,4,2023-10-28,136.9,915.0,177340.6
536,4,2023-11-02,127.4,885.4,177800.7
537,4,2023-11-08,164.8,887.3,178420.2
538,4,2023-11-14,171.9,921.7,178998.3
539,4,2023-11-17,117.9,934.9,179423.3
540,4,2023-11-25,196.8,895.5,180101.1
541,4,2023-12-02,170.0,910.5,180736.3
542,4,2023-12-08,162.0,904.5,181370.3
543,4,2023-12-12,123.9,883.4,181818.9
544,4,2023-12-16,136.4,880.7,182290.0
545,4,2023-12-20,160.3,924.2,182865.6
546,4,2023-12-25,131.6,881.1,183345.2
547,4,2023-12-31,205.4,900.4,184025.6
548,4,2024-01-04,132.3,991.6,184527.3
549,4,2024-01-09,320.8,993.2,185034.4
550,4,2024-01-15,170.4,981.5,185623.5
551,4,2024-01-19,176.1,953.1,186280.5
552,4,2024-01-25,178.6,990.7,186887.3
553,4,2024-01-31,160.2,954.0,187469.5
554,4,2024-02-06,147.5,1015.3,187992.4
555,4,2024-02-12,180.7,961.9,188592.8
556,4,2024-02-20,174.0,988.1,189261.8
557,4,2024-02-27,185.6,963.7,189967.3
558,4,2024-03-04,150.8,938.3,190546.4
559,4,2024-03-08,156.5,962.4,191071.6
560,4,2024-03-14,141.5,946.6,191550.8
561,4,2024-03-19,172.1,970.1,192231.2
562,4,2024-03-24,163.7,960.2,192849.0
563,4,2024-03-29,168.2,941.8,193418.1
564,4,2024-04-03,165.4,1099.7,194024.3
565,4,2024-04-10,141.2,1071.3,194547.3
566,4,2024-04-17,145.0,1048.3,195090.5
567,4,2024-04-21,166.8,1058.0,195714.8
568,4,2024-04-26,158.0,1080.5,196306.6
569,4,2024-05-01,132.3,1065.8,196776.5
570,4,2024-05-08,180.3,1101.2,197466.9
571,4,2024-05-15,169.4,1042.9,198050.0
572,4,2024-05-20,118.8,1053.7,198452.2
573,4,2024-05-29,148.7,1117.3,198944.8
