pedido_id,producto_id,cantidad,precio_unitario
36,20,9,1750.0
36,4,15,8660.0
36,10,10,2520.0
37,6,4,2300.0
37,12,10,1920.0
37,10,19,2500.0
38,10,9,2470.0
38,21,15,1110.0
38,14,7,2710.0
38,11,9,2730.0
39,12,15,1930.0
39,23,4,2810.0
39,2,6,2800.0
39,25,4,1040.0
40,7,13,14430.0
40,12,16,1920.0
41,15,11,2200.0
41,11,8,2750.0
41,5,18,2200.0
41,24,18,2190.0
42,6,5,2290.0
42,18,20,16340.0
42,12,13,1940.0
42,8,18,1570.0
42,3,20,1650.0
42,15,22,2200.0
43,4,5,8900.0
43,20,9,1840.0
43,26,11,1900.0
44,4,13,8960.0
44,10,16,2460.0
44,14,20,2700.0
44,15,5,2120.0
45,5,8,2150.0
45,26,9,1950.0
45,2,16,2890.0
45,15,16,2160.0
45,1,20,3950.0
46,20,7,1940.0
46,25,18,1140.0
46,1,12,4030.0
46,12,12,2050.0
46,21,25,1160.0
46,22,25,2890.0
47,12,18,2100.0
47,20,12,1920.0
47,22,18,2870.0
48,3,16,1700.0
48,19,7,1620.0
48,23,14,2990.0
48,26,5,2060.0
49,26,12,2090.0
49,14,16,2840.0
49,10,25,2590.0
49,16,9,2640.0
49,8,12,1610.0
50,9,25,7510.0
50,2,9,3070.0
51,12,14,2090.0
51,7,15,14990.0
51,6,7,2490.0
52,17,6,9600.0
52,16,8,2700.0
52,13,10,2080.0
53,9,8,7440.0
53,15,15,2320.0
53,2,19,3030.0
53,22,17,2770.0
53,23,5,2850.0
54,14,22,2830.0
54,15,12,2310.0
54,20,5,1860.0
55,23,8,2850.0
55,19,22,1590.0
55,6,5,2450.0
55,3,14,1750.0
56,24,20,2400.0
56,13,4,2030.0
56,16,16,2660.0
56,18,11,17870.0
56,7,13,15140.0
56,8,10,1610.0
57,13,6,2030.0
57,22,6,2780.0
58,3,9,1740.0
58,10,4,2630.0
58,5,10,2260.0
59,4,16,9400.0
59,22,19,2900.0
60,2,4,3080.0
60,9,17,7500.0
60,23,7,2900.0
60,26,20,2090.0
61,8,4,1880.0
61,26,16,2330.0
62,10,14,3060.0
62,24,10,2700.0
62,17,4,11460.0
62,4,10,10710.0
63,25,4,1290.0
63,22,8,3290.0
64,13,14,2360.0
64,17,9,11090.0
64,5,17,2630.0
64,19,12,1830.0
65,18,5,20670.0
65,9,5,8840.0
65,4,13,10500.0
65,15,17,2570.0
65,11,8,3410.0
65,10,18,2990.0
66,23,16,3290.0
66,4,5,10930.0
67,12,13,2380.0
67,20,14,2160.0
67,21,18,1370.0
67,13,12,2310.0
67,25,4,1330.0
67,17,18,11120.0
68,8,16,2180.0
68,18,6,23630.0
68,21,8,1570.0
68,14,17,3730.0
68,19,18,2090.0
68,23,16,3750.0
69,8,13,2110.0
69,25,8,1490.0
69,14,6,3750.0
69,16,12,3330.0
70,7,13,19520.0
70,4,5,12540.0
70,21,8,1490.0
70,19,6,2050.0
71,23,8,3840.0
71,25,6,1430.0
71,2,13,3990.0
71,16,12,3420.0
71,7,6,19710.0
72,16,12,3350.0
72,26,14,2760.0
72,1,14,5270.0
72,19,8,2050.0
73,10,14,3480.0
73,20,16,2440.0
73,17,9,12750.0
74,13,8,2680.0
74,6,5,3140.0
75,8,4,2060.0
75,2,5,3970.0
76,22,4,3730.0
76,16,5,3500.0
76,19,12,2100.0
77,19,6,2090.0
77,16,12,3430.0
77,10,8,3360.0
77,14,9,3610.0
78,2,10,4540.0
78,5,17,3330.0
78,9,5,11090.0
78,26,19,3100.0
78,17,9,14580.0
79,24,12,3480.0
79,11,9,4140.0
79,8,15,2330.0
79,13,19,2950.0
79,16,13,3820.0
79,5,8,3350.0
80,4,5,13590.0
80,14,12,4160.0
80,11,13,4150.0
81,6,16,3560.0
81,16,13,3970.0
82,2,15,4330.0
82,12,9,3000.0
82,20,16,2700.0
82,23,10,4220.0
83,4,7,13630.0
83,17,8,13800.0
84,11,17,4380.0
84,16,14,3790.0
84,23,6,4140.0
85,19,21,2260.0
85,5,6,3260.0
85,20,10,2840.0
85,24,6,3480.0
85,3,13,2470.0
86,7,7,21940.0
86,12,9,2980.0
86,10,9,3940.0
86,24,5,3390.0
86,11,13,4240.0
86,25,15,1660.0
87,19,11,2330.0
87,20,18,2730.0
87,17,18,14070.0
87,8,13,2340.0
87,9,11,11270.0
87,10,7,3830.0
88,14,22,4250.0
88,25,9,1660.0
88,19,18,2260.0
89,25,16,1600.0
89,21,13,1760.0
89,22,20,4120.0
89,1,9,5830.0
89,3,15,2560.0
89,14,25,4240.0
90,7,9,22790.0
90,17,18,14480.0
90,26,24,3050.0
90,2,9,4510.0
90,12,16,2980.0
90,5,9,3360.0
91,15,13,3300.0
91,19,7,2370.0
91,24,7,3490.0
91,16,4,3830.0
92,1,16,6460.0
92,25,14,1720.0
93,18,9,27040.0
93,16,12,4080.0
93,15,9,3440.0
93,2,16,4660.0
93,4,25,14880.0
94,25,5,1760.0
94,21,12,1880.0
94,15,25,3430.0
94,13,9,3110.0
94,17,14,15430.0
94,23,12,4630.0
95,21,23,1820.0
95,7,16,23490.0
95,25,25,1800.0
95,2,5,4630.0
95,1,21,6310.0
95,3,9,2750.0
96,4,21,15020.0
96,19,18,2540.0
97,17,16,15030.0
97,13,14,3120.0
97,14,11,4380.0
97,10,12,3990.0
97,7,19,23960.0
97,26,5,3210.0
98,6,15,3960.0
98,8,22,2510.0
98,2,24,4560.0
98,4,12,14220.0
98,22,7,4300.0
98,1,7,6550.0
99,14,17,4360.0
99,13,24,3070.0
99,19,14,2460.0
99,5,6,3600.0
99,21,22,1860.0
100,26,7,3170.0
100,15,14,3580.0
100,5,17,3590.0
100,9,8,11600.0
101,26,13,3210.0
101,14,9,4400.0
102,15,14,3520.0
102,9,20,12100.0
102,7,9,22950.0
102,2,11,4780.0
102,18,16,28110.0
102,22,14,4360.0
103,17,18,14950.0
103,15,14,3590.0
103,8,11,2550.0
103,12,4,3240.0
103,9,16,11620.0
104,3,9,2620.0
104,5,5,3430.0
104,24,20,3570.0
104,9,10,11840.0
104,16,8,4220.0
105,5,8,3790.0
105,21,9,2010.0
105,19,5,2740.0
105,9,5,12930.0
105,24,4,4040.0
106,24,6,3970.0
106,5,9,3780.0
106,21,9,2030.0
106,8,6,2750.0
106,11,8,4850.0
107,9,18,12940.0
107,20,13,3290.0
107,7,13,26580.0
107,23,10,5050.0
108,9,12,12940.0
108,20,10,3200.0
108,12,10,3570.0
108,19,12,2760.0
109,21,17,2060.0
109,5,14,3930.0
110,20,16,3300.0
110,11,13,4920.0
111,26,18,3510.0
111,24,4,4020.0
111,5,17,3770.0
111,6,14,4310.0
112,17,9,16270.0
112,8,18,2780.0
112,26,18,3470.0
112,20,10,3270.0
112,4,13,15880.0
112,25,16,1960.0
113,14,4,4740.0
113,15,17,3940.0
113,10,12,4370.0
114,10,6,4850.0
114,7,10,28660.0
114,4,10,17530.0
115,16,14,4980.0
115,10,18,4870.0
115,11,5,5300.0
115,4,6,17350.0
115,7,6,27700.0
116,26,5,3930.0
116,16,12,4820.0
116,7,9,28640.0
116,12,13,3760.0
116,19,9,2880.0
117,5,6,4060.0
117,23,17,5300.0
117,10,17,4910.0
117,4,12,17000.0
117,16,16,4990.0
118,10,14,4810.0
118,5,10,4100.0
118,2,5,5580.0
118,21,14,2190.0
118,22,12,5180.0
118,14,16,5370.0
119,14,10,5310.0
119,24,18,4430.0
119,7,5,27810.0
119,17,18,18090.0
119,25,13,2150.0
120,10,14,5730.0
120,22,10,6090.0
120,3,16,3700.0
120,15,8,4750.0
121,12,12,4410.0
121,21,11,2460.0
121,23,4,6270.0
121,1,16,8640.0
121,20,4,4100.0
122,14,19,6080.0
122,7,16,31510.0
123,7,10,32460.0
123,21,21,2510.0
123,20,10,4000.0
123,18,16,37540.0
124,5,9,4790.0
124,8,6,3570.0
124,1,6,8900.0
124,24,16,4890.0
125,4,10,20450.0
125,3,4,3550.0
125,6,4,5360.0
126,20,10,4030.0
126,1,19,8700.0
127,2,11,6240.0
127,12,22,4510.0
127,5,6,4720.0
127,8,25,3540.0
127,16,14,5460.0
128,11,12,6090.0
128,5,9,4800.0
128,18,16,37840.0
128,17,5,20050.0
128,26,18,4430.0
129,26,9,4360.0
129,12,22,4350.0
129,14,20,6110.0
129,2,15,6480.0
129,19,16,3360.0
130,17,13,20790.0
130,24,7,4940.0
130,23,5,6120.0
130,13,16,4270.0
131,11,13,6270.0
131,15,15,4870.0
131,26,20,4400.0
131,5,4,4670.0
131,21,7,2440.0
131,12,25,4450.0
132,11,6,6320.0
132,8,25,3520.0
132,26,16,4470.0
133,17,22,7320.0
133,13,16,1540.0
133,1,14,2970.0
133,3,21,1290.0
133,19,18,1210.0
134,10,10,1910.0
134,24,8,1780.0
134,5,18,1650.0
134,1,19,3020.0
135,8,5,1180.0
135,14,22,2170.0
135,5,18,1700.0
135,26,8,1540.0
135,13,13,1500.0
135,16,6,1980.0
136,15,19,1680.0
136,24,5,1710.0
136,16,19,1950.0
137,22,16,2040.0
137,20,22,1370.0
138,26,8,1550.0
138,10,13,1970.0
138,7,13,11200.0
138,24,10,1700.0
139,18,19,13290.0
139,6,11,1800.0
140,13,10,1520.0
140,19,5,1210.0
141,8,21,1420.0
141,3,5,1430.0
142,13,22,1670.0
142,23,14,2390.0
142,20,19,1590.0
142,7,6,12940.0
143,10,13,2200.0
143,2,10,2510.0
143,6,21,2060.0
143,11,11,2520.0
143,20,8,1560.0
144,6,8,2040.0
144,3,22,1480.0
144,11,6,2480.0
144,4,5,8060.0
144,15,21,1860.0
144,18,11,15120.0
145,15,19,1960.0
145,5,11,1880.0
145,10,19,2230.0
145,9,18,6360.0
145,12,10,1810.0
145,3,14,1500.0
146,24,11,1940.0
146,14,6,2400.0
147,4,8,8070.0
147,20,21,1640.0
148,2,21,2590.0
148,26,16,1790.0
149,23,16,2440.0
149,18,18,15480.0
149,8,19,1360.0
149,11,5,2470.0
149,5,8,1900.0
150,22,16,2410.0
150,12,8,1800.0
150,10,16,2240.0
150,16,22,2260.0
151,7,24,14510.0
151,22,22,2600.0
152,1,17,3850.0
152,23,18,2800.0
152,22,13,2700.0
152,18,12,16700.0
153,4,24,8680.0
153,5,8,2110.0
153,9,5,7150.0
153,25,20,1080.0
153,10,20,2440.0
154,21,24,1090.0
154,10,15,2540.0
154,5,18,2070.0
154,24,13,2240.0
154,2,20,2910.0
154,26,24,1930.0
155,25,15,1080.0
155,17,21,9130.0
156,7,12,14120.0
156,18,7,16880.0
156,3,24,1600.0
157,15,26,2170.0
157,17,19,9240.0
157,12,18,2000.0
157,24,18,2150.0
157,23,6,2760.0
157,8,26,1580.0
158,9,15,7130.0
158,20,22,1790.0
158,13,9,1900.0
159,24,26,2180.0
159,14,17,2610.0
159,15,20,2120.0
159,13,11,1860.0
159,22,15,2690.0
159,8,18,1580.0
160,2,6,2770.0
160,10,26,2500.0
160,8,18,1580.0
160,14,22,2690.0
160,12,7,2000.0
161,1,13,3880.0
161,10,6,2470.0
161,22,9,2660.0
161,3,7,1620.0
161,4,24,9100.0
161,8,22,1570.0
162,24,7,2200.0
162,19,26,1550.0
163,17,19,9270.0
163,11,8,2740.0
163,12,13,2010.0
163,19,29,1510.0
163,13,13,1890.0
163,15,27,2150.0
164,14,29,2740.0
164,22,29,2620.0
165,18,31,16830.0
165,15,7,2200.0
165,9,20,7210.0
165,4,22,8860.0
165,12,11,1940.0
165,10,18,2540.0
166,21,20,1140.0
166,20,13,1830.0
167,16,11,2500.0
167,5,18,2190.0
167,22,11,2680.0
167,1,16,3800.0
167,17,19,9360.0
167,2,11,2840.0
168,13,29,1860.0
168,5,18,2130.0
168,15,20,2160.0
169,8,18,1580.0
169,16,18,2490.0
169,24,25,2250.0
169,12,20,1940.0
170,19,18,1550.0
170,26,20,1950.0
170,7,7,14770.0
170,18,29,17210.0
170,10,11,2540.0
171,18,20,16800.0
171,26,25,2010.0
171,23,13,2690.0
171,21,11,1120.0
171,9,27,7090.0
171,24,31,2180.0
172,6,19,2570.0
172,25,15,1130.0
173,17,10,9660.0
173,11,6,2990.0
173,24,28,2310.0
173,9,6,7650.0
173,12,6,2070.0
173,6,15,2490.0
174,19,19,1560.0
174,7,13,14910.0
175,6,30,2530.0
175,8,11,1680.0
175,19,9,1630.0
175,21,6,1200.0
175,5,21,2290.0
175,11,21,2960.0
176,23,6,2990.0
176,3,19,1750.0
176,18,17,18190.0
176,16,19,2600.0
177,2,22,3050.0
177,4,15,9430.0
177,22,9,2760.0
178,6,11,2500.0
178,10,24,2710.0
178,16,13,2710.0
178,3,15,1680.0
178,23,17,2990.0
179,15,28,2300.0
179,14,15,2890.0
180,15,23,2230.0
180,16,21,2590.0
180,13,8,2070.0
180,11,8,2840.0
180,4,23,9160.0
180,2,17,2980.0
181,3,23,1680.0
181,11,18,3000.0
181,25,29,1150.0
182,6,8,2490.0
182,22,10,2820.0
182,21,10,1190.0
183,7,19,14970.0
183,10,17,2600.0
183,11,11,2880.0
183,13,21,1970.0
183,16,5,2640.0
183,14,25,2820.0
184,20,21,1890.0
184,10,10,2640.0
184,14,23,2830.0
184,8,23,1630.0
185,10,12,2570.0
185,4,29,9490.0
185,22,27,2740.0
185,21,17,1160.0
186,8,15,1650.0
186,3,19,1690.0
187,14,12,2760.0
187,9,10,7830.0
187,8,15,1610.0
188,25,12,1140.0
188,15,9,2270.0
188,13,7,2080.0
188,21,12,1150.0
188,16,13,2640.0
188,26,25,2100.0
189,14,19,2830.0
189,16,10,2620.0
189,21,7,1200.0
189,10,23,2680.0
189,9,5,7860.0
189,19,16,1560.0
190,7,12,15290.0
190,2,19,2970.0
190,4,23,9640.0
190,18,16,18010.0
190,15,21,2250.0
191,22,18,2810.0
191,25,11,1120.0
191,1,16,4230.0
191,4,21,9630.0
191,6,25,2530.0
191,15,7,2230.0
192,14,21,2920.0
192,5,21,2270.0
192,4,7,9280.0
192,16,22,2630.0
192,1,16,4070.0
192,8,7,1610.0
193,7,11,15210.0
193,17,22,9910.0
194,15,6,2630.0
194,17,8,10980.0
194,5,5,2530.0
194,26,22,2340.0
194,22,14,3260.0
195,14,16,3200.0
195,23,21,3260.0
195,8,22,1930.0
195,4,16,10650.0
195,22,16,3290.0
196,17,6,10870.0
196,16,19,3010.0
197,18,19,19960.0
197,14,22,3230.0
197,25,13,1290.0
197,11,8,3400.0
198,11,21,3380.0
198,4,16,11000.0
198,5,11,2530.0
198,8,11,1860.0
199,18,21,20070.0
199,19,5,1850.0
200,12,18,2470.0
200,17,8,11250.0
200,20,13,2230.0
201,22,19,3260.0
201,12,21,2420.0
201,3,13,1940.0
202,21,8,1380.0
202,6,10,2850.0
202,15,11,2600.0
203,12,5,2470.0
203,2,5,3520.0
204,18,5,20590.0
204,23,16,3290.0
205,6,19,2830.0
205,17,22,11120.0
205,8,8,1890.0
206,21,6,1340.0
206,10,16,2970.0
206,26,10,2450.0
206,24,8,2760.0
206,5,8,2630.0
206,4,10,10930.0
207,1,11,5380.0
207,15,18,2930.0
207,5,13,2860.0
207,25,16,1480.0
207,11,19,3730.0
208,8,10,2150.0
208,2,6,4010.0
208,12,6,2770.0
208,7,13,19180.0
208,19,18,2090.0
208,18,5,23400.0
209,8,5,2170.0
209,25,11,1480.0
209,1,16,5390.0
209,18,6,22600.0
209,2,21,3790.0
209,10,6,3380.0
210,13,21,2690.0
210,9,5,9750.0
210,5,19,3000.0
211,18,5,22480.0
211,3,18,2190.0
212,8,18,2150.0
212,26,14,2710.0
213,20,18,2450.0
213,22,5,3750.0
214,1,5,5400.0
214,5,6,2860.0
214,20,21,2420.0
215,15,18,2970.0
215,7,19,19710.0
216,24,19,3050.0
216,14,22,3770.0
216,4,21,11810.0
216,26,13,2610.0
217,10,18,3470.0
217,16,22,3360.0
218,16,5,3390.0
218,9,10,10040.0
218,1,5,5390.0
219,12,8,2980.0
219,18,13,26030.0
219,6,12,3560.0
219,17,6,13870.0
219,23,13,4190.0
220,16,6,3890.0
220,8,7,2380.0
220,22,10,4210.0
220,15,20,3310.0
220,24,7,3430.0
221,1,8,5860.0
221,7,5,22440.0
221,3,10,2520.0
221,15,5,3290.0
221,21,5,1690.0
221,11,8,4330.0
222,20,20,2760.0
222,22,12,4080.0
222,17,14,13840.0
222,8,17,2330.0
222,15,17,3280.0
222,5,6,3230.0
223,4,5,13690.0
223,16,6,3840.0
224,13,15,2950.0
224,25,7,1690.0
224,6,6,3600.0
224,12,15,3150.0
224,1,11,6090.0
225,1,18,5860.0
225,6,7,3730.0
226,11,6,4220.0
226,2,7,4280.0
226,13,26,2990.0
226,8,15,2440.0
226,14,17,4230.0
227,22,17,4230.0
227,24,9,3370.0
228,10,13,3860.0
228,12,17,3020.0
229,9,13,10860.0
229,20,7,2760.0
230,22,9,4010.0
230,9,7,11120.0
230,4,13,13620.0
230,20,20,2760.0
230,14,20,4190.0
231,23,13,4290.0
231,8,13,2350.0
231,15,22,3310.0
231,4,7,13360.0
231,7,29,22650.0
232,19,7,2380.0
232,12,20,3140.0
233,22,22,4050.0
233,13,20,2990.0
234,11,18,4390.0
234,4,22,13940.0
234,13,7,3030.0
234,7,29,21660.0
235,15,18,3400.0
235,2,29,4490.0
235,21,16,1700.0
235,14,20,4150.0
236,25,20,1600.0
236,4,18,13520.0
237,19,7,2380.0
237,20,29,2740.0
238,18,31,26510.0
238,4,25,13790.0
238,9,20,11450.0
238,14,18,4040.0
238,8,11,2410.0
239,16,10,4040.0
239,11,5,4500.0
239,1,6,6530.0
240,7,26,23840.0
240,19,26,2400.0
240,17,14,14650.0
241,5,19,3400.0
241,26,15,3270.0
241,1,13,6500.0
241,21,6,1810.0
241,22,22,4330.0
241,7,26,23480.0
242,13,17,3220.0
242,15,28,3540.0
242,10,13,4150.0
242,11,13,4630.0
242,25,28,1770.0
243,8,22,2560.0
243,17,13,14620.0
243,20,30,2960.0
244,18,15,27500.0
244,19,28,2480.0
244,6,15,3900.0
244,20,6,2970.0
245,16,22,4170.0
245,18,9,28420.0
245,10,30,4200.0
245,20,28,2960.0
246,14,19,4500.0
246,22,19,4280.0
247,18,9,28200.0
247,11,22,4410.0
247,24,17,3530.0
248,21,22,1790.0
248,17,8,15420.0
248,15,13,3540.0
248,8,19,2510.0
249,12,17,3260.0
249,10,27,4060.0
249,25,8,1730.0
249,26,19,3280.0
249,11,22,4650.0
250,16,21,4240.0
250,13,10,3200.0
250,12,25,3240.0
250,18,27,28200.0
251,7,17,23320.0
251,4,21,14890.0
251,24,15,3580.0
252,18,27,28140.0
252,1,29,6380.0
252,20,15,2990.0
252,17,11,15340.0
252,16,10,4080.0
253,24,17,3590.0
253,6,12,3860.0
253,11,6,4460.0
253,1,17,6200.0
253,23,29,4410.0
253,15,10,3470.0
254,16,5,4150.0
254,9,27,11960.0
254,10,17,4010.0
255,13,23,3210.0
255,17,13,15220.0
255,24,15,3720.0
256,4,14,14220.0
256,14,18,4490.0
256,24,5,3700.0
256,3,9,2680.0
256,5,16,3400.0
256,20,11,2990.0
257,20,12,2920.0
257,17,10,15390.0
258,8,23,2610.0
258,13,14,3060.0
258,20,9,3010.0
258,5,8,3590.0
258,6,9,3800.0
258,21,19,1820.0
259,24,12,3660.0
259,3,19,2650.0
259,10,11,4170.0
260,7,14,23550.0
260,13,7,3070.0
260,22,9,4340.0
260,2,12,4720.0
260,24,25,3610.0
260,20,19,2950.0
261,19,13,2700.0
261,12,5,3640.0
261,25,6,1930.0
261,26,8,3560.0
261,6,14,4140.0
262,17,18,16760.0
262,21,21,2060.0
262,12,14,3630.0
263,18,16,30520.0
263,11,13,4970.0
263,21,18,1990.0
264,16,14,4620.0
264,20,22,3230.0
264,18,16,29660.0
264,7,14,26540.0
264,24,8,4030.0
265,5,5,3890.0
265,15,6,3810.0
265,6,21,4180.0
265,12,21,3490.0
265,10,21,4490.0
266,17,11,16260.0
266,19,11,2670.0
267,25,19,1920.0
267,11,8,5010.0
267,4,11,16120.0
267,8,16,2870.0
267,3,22,2970.0
267,22,16,4880.0
268,2,16,5240.0
268,15,6,3960.0
268,17,13,16530.0
268,22,8,4920.0
269,15,6,3880.0
269,6,6,4270.0
269,17,16,16780.0
269,20,16,3170.0
269,8,11,2710.0
269,1,10,6920.0
270,1,19,7180.0
270,5,16,3900.0
270,2,22,5020.0
271,18,22,29870.0
271,12,13,3590.0
271,2,19,5220.0
272,15,14,3870.0
272,14,18,4760.0
273,26,16,3810.0
273,16,14,4840.0
273,25,13,2080.0
274,17,16,18050.0
274,11,5,5400.0
274,19,22,2980.0
274,10,16,4800.0
274,8,18,3000.0
275,25,8,2120.0
275,22,6,5280.0
275,11,13,5260.0
275,9,5,13680.0
276,9,14,14130.0
276,6,10,4530.0
277,21,22,2170.0
277,9,8,14460.0
277,5,5,4050.0
277,6,19,4660.0
277,4,13,17820.0
278,1,22,7490.0
278,23,14,5420.0
278,6,6,4600.0
278,7,18,28770.0
278,16,14,4940.0
279,4,6,17710.0
279,15,19,4210.0
279,21,18,2160.0
280,13,13,3820.0
280,14,10,5210.0
280,21,11,2150.0
280,11,11,5410.0
280,19,14,2970.0
281,9,8,14120.0
281,20,8,3560.0
281,5,14,4080.0
281,21,6,2180.0
282,1,5,7530.0
282,13,10,3770.0
282,18,11,32100.0
283,16,18,5020.0
283,5,6,4120.0
283,4,6,17860.0
283,8,13,3120.0
283,22,19,5080.0
283,19,18,2960.0
284,26,10,4340.0
284,3,12,3640.0
284,2,7,6250.0
284,9,8,15740.0
284,15,13,4930.0
284,10,15,5580.0
285,6,18,5300.0
285,24,13,4820.0
285,16,16,5630.0
285,2,13,6280.0
286,4,24,20460.0
286,11,21,6140.0
286,6,24,5120.0
287,18,13,37230.0
287,1,7,8800.0
287,6,8,5210.0
288,5,16,4700.0
288,14,24,6150.0
288,13,8,4160.0
288,12,13,4430.0
288,7,15,31580.0
288,2,20,6220.0
289,23,13,6190.0
289,22,17,5950.0
289,5,16,4770.0
289,8,22,3440.0
289,10,20,5590.0
289,12,17,4320.0
290,14,22,5970.0
290,20,17,3910.0
290,22,22,6110.0
291,9,20,16520.0
291,16,8,5620.0
291,7,20,31960.0
291,6,18,5370.0
292,23,15,6210.0
292,11,22,6040.0
292,3,15,3560.0
293,17,11,20400.0
293,21,18,2440.0
293,24,7,4910.0
293,7,6,32350.0
293,26,15,4290.0
294,9,11,15900.0
294,10,20,5580.0
295,17,21,20110.0
295,14,7,5930.0
295,2,9,6410.0
295,5,6,4820.0
295,1,18,8900.0
295,4,15,20060.0
296,18,7,38530.0
296,24,25,4950.0
296,23,13,6250.0
296,8,13,3530.0
297,8,13,3470.0
297,16,18,5710.0
297,22,31,6090.0
297,7,16,33010.0
298,21,20,2550.0
298,13,27,4330.0
299,24,29,5000.0
299,13,11,4250.0
299,12,27,4420.0
299,9,27,15970.0
299,4,7,19840.0
300,21,16,2450.0
300,3,18,3630.0
300,18,20,37540.0
301,2,11,6390.0
301,10,22,5690.0
301,22,13,5920.0
301,1,9,8560.0
302,16,10,5700.0
302,12,13,4430.0
302,9,16,16550.0
302,13,22,4310.0
302,22,25,6040.0
302,23,29,5990.0
303,22,7,5950.0
303,24,11,5010.0
303,17,5,20560.0
303,21,22,2450.0
303,11,21,6170.0
304,17,6,20130.0
304,5,5,4650.0
305,6,11,1740.0
305,21,28,790.0
305,26,17,1390.0
305,19,6,1090.0
305,13,15,1410.0
306,25,30,780.0
306,24,17,1610.0
306,8,13,1110.0
306,18,26,11940.0
306,16,10,1760.0
306,23,17,1970.0
307,6,30,1650.0
307,17,21,6640.0
307,25,13,760.0
308,10,9,1770.0
308,7,17,10170.0
309,2,11,1990.0
309,8,6,1090.0
309,5,13,1510.0
309,18,19,12400.0
309,19,30,1060.0
310,22,9,1870.0
310,5,16,1570.0
310,15,17,1580.0
311,5,18,1570.0
311,12,15,1380.0
312,11,22,2030.0
312,17,11,6510.0
313,25,12,770.0
313,1,23,2730.0
314,18,15,12460.0
314,21,23,790.0
314,19,6,1080.0
314,2,12,2100.0
314,25,25,770.0
315,17,13,6590.0
315,22,15,1920.0
315,12,27,1460.0
315,20,25,1280.0
316,22,8,1910.0
316,4,17,6330.0
316,7,10,10500.0
317,12,10,1410.0
317,11,13,1990.0
317,23,21,1930.0
318,25,12,780.0
318,7,11,10380.0
318,18,11,12030.0
318,16,6,1850.0
319,21,12,810.0
319,20,7,1260.0
319,6,5,1720.0
319,22,9,1890.0
319,10,16,1740.0
320,10,9,1780.0
320,24,16,1590.0
320,22,21,1920.0
320,15,25,1540.0
321,14,14,1900.0
