mantenimiento_id,insumo_id,cantidad,costo_total
57,1,13.0,90889
57,2,1.0,12542
58,6,1.0,108257
59,9,1.0,239945
59,12,4.0,37910
60,1,8.0,64275
60,2,1.0,13213
61,8,1.0,387234
61,12,5.0,51250
62,1,10.0,92402
62,2,1.0,16583
63,1,11.0,127116
63,2,1.0,19414
64,6,1.0,151488
65,5,2.0,838319
66,1,8.0,97656
66,2,1.0,20515
67,1,8.0,100969
67,2,1.0,22848
68,1,13.0,201232
68,2,1.0,29029
69,6,1.0,243983
70,1,11.0,58729
70,2,1.0,9600
71,1,13.0,86042
71,2,1.0,11083
72,6,1.0,96537
73,12,7.0,63135
74,1,9.0,63314
74,2,1.0,12525
75,5,4.0,1215229
76,1,10.0,85404
76,2,1.0,15830
77,1,13.0,132144
77,2,1.0,17810
78,6,1.0,141068
79,1,12.0,125886
79,2,1.0,20881
80,8,1.0,557110
80,12,6.0,93149
81,12,4.0,59819
82,1,11.0,137168
82,2,1.0,21271
83,11,1.0,62494
84,1,8.0,110187
84,2,1.0,24062
85,6,1.0,207990
86,5,6.0,3238152
87,1,13.0,200397
87,2,1.0,27513
88,1,12.0,64446
88,2,1.0,9556
89,1,9.0,49827
89,2,1.0,10131
90,6,1.0,83828
91,4,1.0,12670
91,7,1.0,128512
92,1,13.0,91704
92,2,1.0,12367
93,5,4.0,1211466
94,11,1.0,41424
94,10,1.0,137272
95,1,14.0,102913
95,2,1.0,13048
96,7,1.0,187758
96,12,7.0,83816
97,1,14.0,140902
97,2,1.0,16480
98,6,1.0,142076
99,1,14.0,154111
99,2,1.0,19813
100,8,1.0,523885
100,12,6.0,88355
101,9,1.0,384727
102,4,1.0,24566
102,7,1.0,260421
103,1,12.0,141597
103,2,1.0,20074
104,1,13.0,177547
104,2,1.0,23237
105,6,1.0,193600
106,5,6.0,3250280
107,12,6.0,108787
107,10,1.0,258739
108,1,13.0,208544
108,2,1.0,28275
109,10,1.0,93156
109,4,1.0,11060
110,1,8.0,42976
110,2,1.0,8865
111,6,1.0,71352
112,1,11.0,81883
112,2,1.0,13390
113,5,6.0,1802526
114,1,9.0,65447
114,2,1.0,13491
115,1,10.0,87154
115,2,1.0,16467
116,6,1.0,133793
117,1,12.0,129141
117,2,1.0,19975
118,8,1.0,517936
118,12,7.0,103860
119,1,8.0,97527
119,2,1.0,22141
120,1,11.0,132787
120,2,1.0,22752
121,6,1.0,186385
122,5,2.0,985869
123,1,14.0,203101
123,2,1.0,23744
124,1,10.0,162766
124,2,1.0,29064
125,1,9.0,49103
125,2,1.0,8820
126,9,1.0,183396
126,7,1.0,112003
127,5,6.0,1481355
128,1,12.0,89808
128,2,1.0,13345
129,1,9.0,71957
129,2,1.0,13366
130,6,1.0,110985
131,1,12.0,125199
131,2,1.0,17828
132,8,1.0,470694
132,12,3.0,37453
133,1,13.0,146822
133,2,1.0,19975
134,1,9.0,107753
134,2,1.0,20699
135,6,1.0,167295
136,5,6.0,2747352
137,1,13.0,175049
137,2,1.0,22790
138,3,1.0,39477
139,1,13.0,190989
139,2,1.0,24325
140,1,12.0,80137
140,2,1.0,11258
141,1,12.0,95439
141,2,1.0,12773
142,12,4.0,47719
142,11,1.0,45679
143,1,10.0,101623
143,2,1.0,16881
144,6,1.0,150606
145,1,8.0,95344
145,2,1.0,19870
146,5,2.0,883438
147,1,11.0,160901
147,2,1.0,24283
148,1,9.0,143391
148,2,1.0,30101
149,6,1.0,234102
150,1,9.0,94421
150,2,1.0,20834
151,1,14.0,188835
151,2,1.0,23181
152,4,1.0,29390
153,1,13.0,220307
153,2,1.0,30134
154,6,1.0,231624
155,1,12.0,71451
155,2,1.0,10497
156,1,10.0,71652
156,2,1.0,12381
157,6,1.0,107574
158,11,1.0,44178
159,1,12.0,109146
159,2,1.0,16378
160,9,1.0,312609
160,10,1.0,187293
161,5,4.0,1721486
162,1,8.0,84717
162,2,1.0,19056
163,1,14.0,180025
163,2,1.0,23820
164,6,1.0,177652
165,1,13.0,201376
165,2,1.0,27425
166,8,1.0,806270
166,12,6.0,125526
167,1,13.0,63507
167,2,1.0,9108
168,9,1.0,175454
168,7,1.0,108190
169,1,12.0,76640
169,2,1.0,11151
170,6,1.0,90240
171,1,10.0,76730
171,2,1.0,13720
172,8,1.0,382208
172,12,6.0,57593
173,1,11.0,112956
173,2,1.0,18489
174,10,1.0,208356
174,11,1.0,60355
175,7,1.0,220940
175,4,1.0,22635
176,1,13.0,160566
176,2,1.0,21493
177,6,1.0,170753
178,5,4.0,1945970
179,1,11.0,142219
179,2,1.0,23339
180,3,1.0,36143
180,9,1.0,466415
181,1,10.0,152799
181,2,1.0,27161
182,1,11.0,58678
182,2,1.0,8582
183,6,1.0,69649
184,5,2.0,390363
185,7,1.0,140931
185,11,1.0,35589
186,1,11.0,71936
186,2,1.0,11460
187,1,10.0,75023
187,2,1.0,14113
188,1,14.0,142454
188,2,1.0,17466
189,6,1.0,134918
190,10,1.0,213865
191,1,14.0,155838
191,2,1.0,20829
192,11,1.0,65289
193,5,6.0,3151519
194,1,12.0,176825
194,2,1.0,23383
195,1,8.0,43024
195,2,1.0,9882
196,10,1.0,108122
196,4,1.0,12562
197,11,1.0,29802
198,1,11.0,83382
198,2,1.0,12030
199,6,1.0,107964
200,1,12.0,101257
200,2,1.0,14749
201,8,1.0,402346
201,12,7.0,77348
202,1,8.0,90046
202,2,1.0,20233
203,1,13.0,159192
203,2,1.0,22320
204,6,1.0,180967
205,5,6.0,3084368
206,1,11.0,174588
206,2,1.0,26695
207,12,4.0,59440
208,1,10.0,133386
208,2,1.0,23591
209,1,14.0,220771
209,2,1.0,27506
210,1,10.0,56173
210,2,1.0,10622
211,3,1.0,17244
211,11,1.0,35235
212,1,11.0,85335
212,2,1.0,13248
213,6,1.0,107704
214,1,9.0,79781
214,2,1.0,15061
215,5,2.0,845031
216,1,9.0,99629
216,2,1.0,19008
217,1,10.0,127478
217,2,1.0,23834
218,6,1.0,189185
219,9,1.0,441612
220,1,13.0,219786
220,2,1.0,27463
221,8,1.0,816505
221,12,7.0,152100
222,10,1.0,177107
223,1,12.0,122894
223,2,1.0,18382
224,1,13.0,150805
224,2,1.0,20430
225,9,1.0,380543
226,1,14.0,188619
226,2,1.0,25916
227,6,1.0,201354
228,1,10.0,150147
228,2,1.0,29214
229,1,11.0,65123
229,2,1.0,10305
230,6,1.0,85279
231,1,11.0,81512
231,2,1.0,12746
232,5,4.0,1243665
233,4,1.0,15117
233,11,1.0,43032
234,1,9.0,74934
234,2,1.0,15167
235,1,8.0,86941
235,2,1.0,20334
236,6,1.0,169424
237,1,9.0,114790
237,2,1.0,22323
238,8,1.0,651453
238,12,6.0,106654
239,1,9.0,137676
239,2,1.0,27807
240,1,14.0,75899
240,2,1.0,8849
241,6,1.0,75945
242,1,11.0,68117
242,2,1.0,10888
243,5,4.0,1157188
244,1,11.0,78010
244,2,1.0,12004
245,1,11.0,88058
245,2,1.0,14025
246,6,1.0,113168
247,1,14.0,138683
247,2,1.0,16325
248,8,1.0,497895
248,12,4.0,53542
249,1,14.0,162705
249,2,1.0,19048
250,1,14.0,173467
250,2,1.0,20142
251,6,1.0,176244
252,5,2.0,882057
253,7,1.0,307426
253,10,1.0,278257
254,1,10.0,143678
254,2,1.0,23375
255,1,11.0,169066
255,2,1.0,27761
256,1,14.0,141092
256,2,1.0,17433
257,1,12.0,131100
257,2,1.0,19729
258,1,12.0,146743
258,2,1.0,19818
259,6,1.0,164491
260,10,1.0,238568
260,4,1.0,26002
261,1,11.0,146593
261,2,1.0,24036
262,5,4.0,2648587
263,1,9.0,143197
263,2,1.0,28014
264,1,8.0,41448
264,2,1.0,9273
265,11,1.0,28318
265,12,3.0,19501
266,1,12.0,73525
266,2,1.0,11644
267,1,14.0,103491
267,2,1.0,12689
268,6,1.0,98191
269,1,12.0,101117
269,2,1.0,14591
270,4,1.0,17633
270,12,4.0,49295
271,9,1.0,295134
272,5,2.0,733376
273,1,10.0,97997
273,2,1.0,16494
274,7,1.0,229719
274,12,7.0,106438
275,1,10.0,106967
275,2,1.0,18657
276,6,1.0,152274
277,1,8.0,107846
277,2,1.0,23122
278,8,1.0,651527
278,12,6.0,106112
279,10,1.0,237302
279,4,1.0,27313
280,1,10.0,136498
280,2,1.0,25499
281,9,1.0,509608
281,7,1.0,331501
282,4,1.0,33740
282,9,1.0,560767
283,1,10.0,163478
283,2,1.0,27244
284,6,1.0,222103
285,5,6.0,3744541
286,1,9.0,117877
286,2,1.0,21702
287,1,12.0,172100
287,2,1.0,23703
288,1,11.0,183594
288,2,1.0,28336
289,6,1.0,236914
290,1,9.0,47272
290,2,1.0,9595
291,5,2.0,432282
292,1,9.0,53752
292,2,1.0,10010
293,1,10.0,72470
293,2,1.0,12731
294,6,1.0,99412
295,10,1.0,143388
296,1,12.0,94935
296,2,1.0,14240
297,8,1.0,359504
297,12,3.0,30279
298,7,1.0,155814
298,10,1.0,147920
299,1,10.0,88403
299,2,1.0,15325
300,1,12.0,132122
300,2,1.0,20814
301,6,1.0,167017
302,5,2.0,897439
303,4,1.0,22515
303,9,1.0,346977
304,1,8.0,95110
304,2,1.0,19946
305,1,11.0,148486
305,2,1.0,22481
306,1,8.0,127463
306,2,1.0,27163
307,6,1.0,217400
308,1,14.0,69399
308,2,1.0,9625
309,3,1.0,14621
309,4,1.0,12395
310,1,8.0,49230
310,2,1.0,11078
311,6,1.0,97912
312,7,1.0,132867
312,10,1.0,123564
313,1,13.0,88577
313,2,1.0,13372
314,8,1.0,369730
314,12,3.0,29442
315,1,11.0,80287
315,2,1.0,14010
316,1,14.0,131219
316,2,1.0,17114
317,6,1.0,140464
318,5,2.0,792428
319,1,14.0,155875
319,2,1.0,20430
320,3,1.0,30035
320,7,1.0,243173
321,1,13.0,161955
321,2,1.0,21183
322,1,12.0,166558
322,2,1.0,25247
323,6,1.0,212941
324,12,7.0,158034
325,11,1.0,89598
325,9,1.0,521990
326,5,2.0,406048
327,1,14.0,75370
327,2,1.0,9998
328,1,10.0,64309
328,2,1.0,11994
329,6,1.0,94376
330,1,11.0,88192
330,2,1.0,12788
331,8,1.0,385191
331,12,7.0,70646
332,1,13.0,113609
332,2,1.0,14720
333,1,8.0,91013
333,2,1.0,19962
334,6,1.0,167079
335,5,4.0,1710706
336,1,11.0,126770
336,2,1.0,20931
337,1,12.0,155466
337,2,1.0,24012
338,1,8.0,122918
338,2,1.0,27060
339,6,1.0,216829
340,10,1.0,250025
341,1,14.0,188521
341,2,1.0,24942
342,1,13.0,64265
342,2,1.0,9696
343,6,1.0,74688
344,7,1.0,123403
344,11,1.0,29829
345,9,1.0,187831
346,1,8.0,47506
346,2,1.0,9585
347,5,6.0,1581361
348,1,12.0,81139
348,2,1.0,12045
349,9,1.0,239796
349,10,1.0,134041
350,1,10.0,71868
350,2,1.0,13315
351,6,1.0,116330
352,1,12.0,121817
352,2,1.0,17618
353,8,1.0,485034
353,12,4.0,50273
354,1,10.0,114822
354,2,1.0,20897
355,1,12.0,135214
355,2,1.0,20849
356,6,1.0,165864
357,5,4.0,1828206
358,1,9.0,130938
358,2,1.0,24190
359,1,10.0,163772
359,2,1.0,29370
